bladeId,sensorIds,foldCount,selectedWindowMm,selectedSpanBins,cvRmseMv,cvSeMv,screenWindowMm,candidateWindowMm_1,candidateWindowMm_2,candidateWindowMm_3,candidateWindowMm_4,candidateWindowMm_5,candidateWindowMm_6,candidateWindowMm_7,candidateWindowMm_8,candidateWindowMm_9,candidateCvRmseMv_1,candidateCvRmseMv_2,candidateCvRmseMv_3,candidateCvRmseMv_4,candidateCvRmseMv_5,candidateCvRmseMv_6,candidateCvRmseMv_7,candidateCvRmseMv_8,candidateCvRmseMv_9,candidateCvSeMv_1,candidateCvSeMv_2,candidateCvSeMv_3,candidateCvSeMv_4,candidateCvSeMv_5,candidateCvSeMv_6,candidateCvSeMv_7,candidateCvSeMv_8,candidateCvSeMv_9
1,"1,2,3",5,1.62,81,33.2063191374054,0.550390910566552,2.42,0.1,0.18,0.34,0.5,0.82,1.22,1.62,2.02,2.42,33.3039901267085,33.2778151732238,33.2615016486064,33.2525795173573,33.2313465395839,33.2168347216773,33.2063191374054,33.2870829623798,33.5897146773641,0.555366435092305,0.555471589467401,0.558644838166359,0.559639422291142,0.559290102689244,0.555294699373503,0.550390910566552,0.548825077388236,0.542564597669915
2,"1,2,3",5,1.62,81,31.8967407978642,0.493602143063952,2.42,0.1,0.18,0.34,0.5,0.82,1.22,1.62,2.02,2.42,32.0146676189296,31.9817723873516,31.967489579043,31.9550825164368,31.9338282220747,31.9108405025828,31.8967407978642,31.9694457633711,32.3012724735544,0.498684049434853,0.496139036525791,0.497961028874073,0.497362854240218,0.496641502792687,0.493818934433905,0.493602143063952,0.492041478529295,0.482350766739561
3,"1,2,3",5,1.62,81,31.3373122573823,0.463975862740137,2.42,0.1,0.18,0.34,0.5,0.82,1.22,1.62,2.02,2.42,31.4550384013806,31.4229377696797,31.4056795106374,31.3974817036721,31.3738451079688,31.3520383221634,31.3373122573823,31.3871737573896,31.6312940736571,0.468670625156932,0.467677453121573,0.466509810896441,0.464470312347028,0.465157463398811,0.466221639998957,0.463975862740137,0.458294545309956,0.442925221420206
4,"1,2,3",5,1.62,81,31.4868212247302,0.409964271386396,2.42,0.1,0.18,0.34,0.5,0.82,1.22,1.62,2.02,2.42,31.6069846453913,31.5794018597833,31.5621928541478,31.5443224840519,31.5272498252893,31.5034093924053,31.4868212247302,31.5536517127978,31.8536586274757,0.410874801388795,0.412505272848467,0.409205271656353,0.408317534731767,0.407283592488641,0.409059275198626,0.409964271386396,0.410090772629415,0.399142600828351
5,"1,2,3",5,1.62,81,31.443786018024,0.592376454341795,2.42,0.1,0.18,0.34,0.5,0.82,1.22,1.62,2.02,2.42,31.5566260191035,31.5341425746787,31.5119112818541,31.5052727766377,31.4826792728413,31.4588355023405,31.443786018024,31.5037579124941,31.7829431070288,0.599180710277593,0.596347991888668,0.59719062528015,0.598115466029003,0.597353881561952,0.596683116791309,0.592376454341795,0.585119521341188,0.565108311295186
6,"1,2,3",5,1.62,81,31.3602763188888,0.449615052960782,2.42,0.1,0.18,0.34,0.5,0.82,1.22,1.62,2.02,2.42,31.4715727357029,31.4303121206605,31.4157826898374,31.4107621696992,31.3988159955438,31.3776716424581,31.3602763188888,31.4190961472279,31.6946920516769,0.448297060237311,0.450445364835167,0.452378908600438,0.452558805028597,0.450821123939821,0.450793206346515,0.449615052960782,0.449559914457323,0.443825044099705
