sensor_id,blade_id,StartLap,EndLap,LapCount,PulseCount,WidePointCount,SelectedPointCount,xc_mm,xc_seed_mm,center_gap_mm,SelectedWidthMm,RMSE,BoundRatio,LocalXcMAD,PulseXcMAD,HalfTemplateRMSE,HalfXcShiftMm,HalfAmplitudeRelShift,LeftGradientRatio,RightGradientRatio,WidthDeficit,PointDeficit,IsStableCandidate,ChosenScore,Reason
1,1,1,20,20,20,248629,248629,-0.0286892517609653,-0.0152434631776538,0.0134457885833115,14.4980849149812,0.0317848931615722,0.0513047395347341,0.0133219698756727,0.00760968974730706,0.00533085950465026,0.00216364985306201,0,0.500411636062225,0.499588363937775,0,0,0,56.053296608913,static_fit_scored_candidate
1,1,2,21,20,20,248561,248561,-0.0284379526352525,-0.0152434631776538,0.0131944894575987,14.4943351404158,0.0315481466063356,0.0507716322556766,0.000251299125712787,0.00678613028521017,0.00628622050641872,0.00342277513994616,0.000639408563750961,0.500373780594503,0.499626219405497,0,0,1,0.520890511392435,static_fit_scored_candidate
1,1,3,22,20,20,248675,248675,-0.0278174305582128,-0.0127918145067782,0.0150256160514345,14.5007389705766,0.0312091876103936,0.0514886840708392,8.33833866979404e-05,0.00755411013184843,0.00629499810507131,0.00293982504264311,0,0.500519373915306,0.499480626084694,0,0,1,0.482261879585372,static_fit_scored_candidate
1,1,4,23,20,20,248622,248622,-0.0277340471715148,-0.0127918145067782,0.0149422326647366,14.4978345408996,0.030917748457004,0.052545208829397,8.33833866979404e-05,0.00755411013184843,0.00630960030076429,0.0014770429386693,0.000639408563750961,0.500476430441226,0.499523569558774,0,0,1,0.611221165871874,static_fit_scored_candidate
1,1,5,24,20,20,248587,248587,-0.0296719397956866,-0.0152434631776538,0.0144284766180327,14.4958123532898,0.0312737064226031,0.0525850000804544,0.000431572352213819,0.0118192299524429,0.00541308841222631,0.0122346253688005,0.000639408563750961,0.500407684429443,0.499592315570557,0,0,1,0.616475110827216,static_fit_scored_candidate
1,1,6,25,20,20,248518,248518,-0.0301035121479004,-0.0154804777971906,0.0146230343507098,14.4915949019771,0.0315868545608235,0.0523257685498149,1.98654985986493e-06,0.00931080995681655,0.0052979579947813,0.00979175726306832,0.000639408563750961,0.500388343679355,0.499611656320645,0,0,1,0.748044359201125,static_fit_scored_candidate
1,1,7,26,20,20,248715,248715,-0.0296699532458267,-0.015214285280888,0.0144556679649387,14.5032615502155,0.031097275932345,0.0476849096961997,0.000433558902073684,0.00675249449116289,0.00410153750042889,0.0121043627125794,0,0.500348929024951,0.499651070975049,0,0,1,0.0211420770299716,static_fit_scored_candidate
1,1,8,27,20,20,248844,248844,-0.0287699226981027,-0.0142419364929511,0.0145279862051517,14.511079174104,0.0312652961772272,0.0484962466444841,0.00029794734272744,0.00519827527722865,0.00460468396377067,0.0108709610953171,0.000639408563750961,0.500396779192183,0.499603220807817,0,0,1,0.12028503560458,static_fit_scored_candidate
1,1,9,28,20,20,248792,248792,-0.0290678700408302,-0.0142419364929511,0.0148259335478791,14.507550647882,0.0312136862912192,0.0482652175311103,0.00029794734272744,0.00519827527722865,0.00580520767747507,0.0125319699004083,0,0.500402735545173,0.499597264454827,0,0,1,0.0926014852041186,static_fit_scored_candidate
1,1,10,29,20,20,248725,248725,-0.0274138004708512,-0.010713214315501,0.0167005861553501,14.5039218513392,0.0313678136895099,0.0480203274259432,0.000822663966895499,0.00622080375709006,0.00610048220212099,0.0123279329762992,0.000639408563750961,0.500427976562183,0.499572023437817,0,0,1,0.677441826024253,static_fit_scored_candidate
