sensor_id,blade_id,pulse_count,point_count,wide_point_count,stable_window_enabled,stable_window_start_lap,stable_window_end_lap,stable_window_lap_count,stable_window_score,stable_window_candidate_count,stable_window_reason,x_abs_min_mm,x_abs_max_mm,x_min_mm,x_max_mm,xc_mm,xc_detected_mm,xc_seed_mm,xc_refined_mm,xc_refine_shift_mm,xc_refine_status,xc_reference_source,selection_mode,domain_left_mm,domain_right_mm,domain_width_mm,support_left_mm,support_right_mm,response_left_mm,response_right_mm,query_safe_left_mm,query_safe_right_mm,domain_status,domain_peak_amp_v,domain_noise_sigma_v,source_point_policy,final_point_count,baseline_v,baseline_source,threshold_v,amplitude_v,max_abs_gradient_v_per_mm,valid_bin_count,coverage_fraction,quality_status
1,1,20,248561,248561,1,2,21,20,NaN,0,common_by_blade_external_plan_bic_change_point_first_stationary_segment,-8.23543861286281,8.00748088881801,-8.20808037445176,8.03483912722906,-0.0273582384110468,0.0139841953739268,0.0139841953739268,-0.0273582384110468,-0.0413424337849736,accepted,detected_from_current_template_points,raw_low_speed_wide_window_full_point_cloud_gradient_weight_sgfit_center,-3.60607929519305,3.41392070480695,7.02,-8.04607929519305,7.87392070480695,-3.64607929519305,-0.386079295193053,-3.10607929519305,2.91392070480695,ok,3.81603783633933,0.00925242165242177,trusted_domain_recalibration,108343,-0.268486622121454,sensor_stream_low_state_histogram,0.5,3.81603783633933,1.49911816578483,351,1,good
1,2,20,246479,246479,1,2,21,20,NaN,0,common_by_blade_external_plan_bic_change_point_first_stationary_segment,-8.16028401629843,7.97206400036223,-8.15591260865937,7.97643540800129,-0.00437140763906378,0.0356582577700442,0.0356582577700442,-0.00437140763906378,-0.040029665409108,accepted,detected_from_current_template_points,raw_low_speed_wide_window_full_point_cloud_gradient_weight_sgfit_center,-3.55265183191661,3.56734816808339,7.12,-7.97265183191661,7.80734816808339,-3.65265183191661,-0.392651831916612,-3.05265183191661,3.06734816808339,ok,3.67874303237786,0.0119678062678066,trusted_domain_recalibration,109885,-0.268486622121454,sensor_stream_low_state_histogram,0.5,3.67874303237786,1.45841812508479,356,1,good
1,3,20,245046,245046,1,2,21,20,NaN,0,common_by_blade_external_plan_bic_change_point_first_stationary_segment,-8.07368886097163,8.01079137480574,-8.11524729081244,7.96923294496493,0.0415584298408094,0.0803769358905141,0.0803769358905141,0.0415584298408094,-0.0388185060497047,accepted,detected_from_current_template_points,raw_low_speed_wide_window_full_point_cloud_gradient_weight_sgfit_center,-3.58709212372963,3.45290787627037,7.04,-7.92709212372963,7.77290787627037,-3.64709212372963,-0.407092123729631,-3.08709212372963,2.95290787627037,ok,3.53792089155572,0.00965470085470196,trusted_domain_recalibration,108645,-0.268486622121454,sensor_stream_low_state_histogram,0.5,3.53792089155572,1.39058472391805,352,1,good
1,4,20,245150,245150,1,2,21,20,NaN,0,common_by_blade_external_plan_bic_change_point_first_stationary_segment,-8.16913524890332,7.91578226054948,-8.13985822057725,7.94505928887555,-0.0292770283260721,0.0123541418396722,0.0123541418396722,-0.0292770283260721,-0.0416311701657444,accepted,detected_from_current_template_points,raw_low_speed_wide_window_full_point_cloud_gradient_weight_sgfit_center,-3.58874817613599,3.49125182386401,7.08,-7.92874817613599,7.77125182386401,-3.64874817613599,-0.348748176135987,-3.08874817613599,2.99125182386401,ok,3.59245894609378,0.0116660968660972,trusted_domain_recalibration,109269,-0.268486622121454,sensor_stream_low_state_histogram,0.5,3.59245894609378,1.40075973409306,354,1,good
1,5,20,246395,246395,1,2,21,20,NaN,0,common_by_blade_external_plan_bic_change_point_first_stationary_segment,-8.35263814863628,8.05953383376115,-8.34199685087897,8.07017513151846,-0.0106412977573119,0.0308327251134062,0.0308327251134062,-0.0106412977573119,-0.0414740228707181,accepted,detected_from_current_template_points,raw_low_speed_wide_window_full_point_cloud_gradient_weight_sgfit_center,-3.64839900087606,3.55160099912394,7.2,-7.96839900087607,7.81160099912394,-3.74839900087607,-0.328399000876065,-3.14839900087606,3.05160099912394,ok,3.55555757585907,0.00792490028490087,trusted_domain_recalibration,111140,-0.268486622121454,sensor_stream_low_state_histogram,0.5,3.55555757585907,1.37701804368471,360,1,good
1,6,20,247402,247402,1,2,21,20,NaN,0,common_by_blade_external_plan_bic_change_point_first_stationary_segment,-8.2252126782173,8.19180498183625,-8.27362268726167,8.14339497279187,0.0484100090443771,0.0889995053324918,0.0889995053324918,0.0484100090443771,-0.0405894962881147,accepted,detected_from_current_template_points,raw_low_speed_wide_window_full_point_cloud_gradient_weight_sgfit_center,-3.60305825330055,3.39694174669946,7,-8.00305825330055,7.83694174669946,-3.70305825330055,-0.403058253300546,-3.10305825330055,2.89694174669946,ok,3.62800364830515,0.00744216524216505,trusted_domain_recalibration,108039,-0.268486622121454,sensor_stream_low_state_histogram,0.5,3.62800364830515,1.45163478496811,350,1,good
2,1,20,243055,243055,1,2,21,20,NaN,0,common_by_blade_external_plan_bic_change_point_first_stationary_segment,-8.01867992180978,7.94784918099406,-8.00412319926008,7.96240590354376,-0.0145567225496978,-0.0227302727213955,-0.0227302727213955,-0.0145567225496978,0.00817355017169775,accepted,detected_from_current_template_points,raw_low_speed_wide_window_full_point_cloud_gradient_weight_sgfit_center,-3.52116081320323,3.45883918679677,6.98,-7.78116081320323,7.77883918679677,0.418839186796768,3.55883918679677,-3.02116081320323,2.95883918679677,ok,3.88347764750796,0.0120683760683764,trusted_domain_recalibration,107727,-0.258867689564666,sensor_stream_low_state_histogram,0.5,3.88347764750796,1.51607651607651,349,1,good
2,2,20,240798,240798,1,2,21,20,NaN,0,common_by_blade_external_plan_bic_change_point_first_stationary_segment,-7.82443990654755,7.89719332683715,-7.85627276702504,7.86536046635966,0.0318328604774928,0.0261602471947112,0.0261602471947112,0.0318328604774928,0.00567261328278156,accepted,detected_from_current_template_points,raw_low_speed_wide_window_full_point_cloud_gradient_weight_sgfit_center,-3.52361050043552,3.45638949956448,6.98,-7.70361050043552,7.71638949956448,0.416389499564483,3.55638949956448,-3.02361050043552,2.95638949956448,ok,3.76680419750118,0.011263817663818,trusted_domain_recalibration,107731,-0.258867689564666,sensor_stream_low_state_histogram,0.5,3.76680419750118,1.47198480531813,349,1,good
2,3,20,240753,240753,1,2,21,20,NaN,0,common_by_blade_external_plan_bic_change_point_first_stationary_segment,-7.95136049151302,8.11984652748379,-7.91038560742448,8.16082141157233,-0.0409748840885388,-0.0455541711595923,-0.0455541711595923,-0.0409748840885388,0.00457928707105346,accepted,detected_from_current_template_points,raw_low_speed_wide_window_full_point_cloud_gradient_weight_sgfit_center,-3.5532325536559,3.5867674463441,7.14,-7.6932325536559,7.7267674463441,-3.6532325536559,-0.353232553655897,-3.0532325536559,3.0867674463441,ok,3.60915937318968,0.00522962962962944,trusted_domain_recalibration,110199,-0.258867689564666,sensor_stream_low_state_histogram,0.5,3.60915937318968,1.36345136345138,356,1,good
2,4,20,241010,241010,1,2,21,20,NaN,0,common_by_blade_external_plan_bic_change_point_first_stationary_segment,-8.13584859738289,7.90147739397609,-8.11721478930507,7.92011120205391,-0.0186338080778194,-0.0210447882454835,-0.0210447882454835,-0.0186338080778194,0.00241098016766411,accepted,detected_from_current_template_points,raw_low_speed_wide_window_full_point_cloud_gradient_weight_sgfit_center,-3.53924650846817,3.56075349153184,7.1,-7.71924650846817,7.72075349153184,0.420753491531836,3.60075349153184,-3.03924650846817,3.06075349153184,ok,3.64226207295905,0.00703988603988642,trusted_domain_recalibration,109579,-0.258867689564666,sensor_stream_low_state_histogram,0.5,3.64226207295905,1.38380138380138,355,1,good
2,5,20,239729,239729,1,2,21,20,NaN,0,common_by_blade_external_plan_bic_change_point_first_stationary_segment,-7.78864013124727,7.92305488232345,-7.82502149883951,7.88667351473121,0.0363813675922472,0.0336270436802832,0.0336270436802832,0.0363813675922472,0.00275432391196406,accepted,detected_from_current_template_points,raw_low_speed_wide_window_full_point_cloud_gradient_weight_sgfit_center,-3.56098860928998,3.55901139071002,7.12,-7.66098860928998,7.67901139071002,0.41901139071002,3.65901139071002,-3.06098860928998,3.05901139071002,ok,3.60237603307301,0.00784444444444516,trusted_domain_recalibration,109893,-0.258867689564666,sensor_stream_low_state_histogram,0.5,3.60237603307301,1.39058472391806,356,1,good
2,6,20,241710,241710,1,2,21,20,NaN,0,common_by_blade_external_plan_bic_change_point_first_stationary_segment,-8.02429486825708,7.95543562531772,-7.98252261995934,7.99720787361547,-0.0417722482977445,-0.0441609082230771,-0.0441609082230771,-0.0417722482977445,0.00238865992533259,accepted,detected_from_current_template_points,raw_low_speed_wide_window_full_point_cloud_gradient_weight_sgfit_center,-3.49112739211696,3.48887260788304,6.98,-7.73112739211696,7.74887260788304,-3.59112739211696,-0.431127392116955,-2.99112739211696,2.98887260788304,ok,3.6890671197641,0.00925242165242207,trusted_domain_recalibration,107730,-0.258867689564666,sensor_stream_low_state_histogram,0.5,3.6890671197641,1.41771808438475,349,1,good
3,1,20,246386,246386,1,2,21,20,NaN,0,common_by_blade_external_plan_bic_change_point_first_stationary_segment,-8.01501511126108,8.19624894506926,-8.02847137802183,8.1827926783085,0.0134562667607551,0.00903606187256841,0.00903606187256841,0.0134562667607551,0.00442020488818666,accepted,detected_from_current_template_points,raw_low_speed_wide_window_full_point_cloud_gradient_weight_sgfit_center,-3.49746282288016,3.50253717711984,7,-7.87746282288016,7.90253717711984,0.402537177119838,3.60253717711984,-2.99746282288016,3.00253717711984,ok,4.00333007818587,0.00673817663817647,trusted_domain_recalibration,108025,-0.272086013608475,sensor_stream_low_state_histogram,0.5,4.00333007818587,1.52625152625153,350,1,good
3,2,20,244291,244291,1,2,21,20,NaN,0,common_by_blade_external_plan_bic_change_point_first_stationary_segment,-8.03589811375768,7.99469230239775,-8.02632219289581,8.00426822325962,-0.00957592086187279,-0.0132213604262542,-0.0132213604262542,-0.00957592086187279,0.00364543956438144,accepted,detected_from_current_template_points,raw_low_speed_wide_window_full_point_cloud_gradient_weight_sgfit_center,-3.51942541430389,3.56057458569611,7.08,-7.81942541430389,7.82057458569611,0.380574585696112,3.58057458569611,-3.01942541430389,3.06057458569611,ok,3.87675295160875,0.00915185185185156,trusted_domain_recalibration,109273,-0.272086013608475,sensor_stream_low_state_histogram,0.5,3.87675295160875,1.45841812508481,354,1,good
3,3,20,243627,243627,1,2,21,20,NaN,0,common_by_blade_external_plan_bic_change_point_first_stationary_segment,-7.94037012912575,8.00213546935023,-7.92310213778949,8.01940346068649,-0.0172679913362575,-0.0209841474530523,-0.0209841474530523,-0.0172679913362575,0.00371615611679478,accepted,detected_from_current_template_points,raw_low_speed_wide_window_full_point_cloud_gradient_weight_sgfit_center,-3.52764313645236,3.59235686354765,7.12,-7.78764313645236,7.81235686354765,-3.62764313645236,-0.387643136452356,-3.02764313645236,3.09235686354765,ok,3.70269244421491,0.00975527065527039,trusted_domain_recalibration,109906,-0.272086013608475,sensor_stream_low_state_histogram,0.5,3.70269244421491,1.39058472391806,356,1,good
3,4,20,243610,243610,1,2,21,20,NaN,0,common_by_blade_external_plan_bic_change_point_first_stationary_segment,-8.06768556548727,8.02282037182903,-8.08373584137587,8.00677009594043,0.0160502758885957,0.0097241798768858,0.0097241798768858,0.0160502758885957,0.00632609601170987,accepted,detected_from_current_template_points,raw_low_speed_wide_window_full_point_cloud_gradient_weight_sgfit_center,-3.63661910077846,3.56338089922154,7.2,-7.79661910077847,7.80338089922154,0.423380899221536,3.66338089922154,-3.13661910077846,3.06338089922154,ok,3.74800515619429,0.00663760683760668,trusted_domain_recalibration,111122,-0.272086013608475,sensor_stream_low_state_histogram,0.5,3.74800515619429,1.43467643467644,360,1,good
3,5,20,243001,243001,1,2,21,20,NaN,0,common_by_blade_external_plan_bic_change_point_first_stationary_segment,-8.24437995755648,8.02648926182548,-8.23325652327016,8.03761269611181,-0.0111234342863277,-0.015962173355187,-0.015962173355187,-0.0111234342863277,0.00483873906885925,accepted,detected_from_current_template_points,raw_low_speed_wide_window_full_point_cloud_gradient_weight_sgfit_center,-3.52506404769371,3.57493595230629,7.1,-7.78506404769371,7.77493595230629,0.414935952306286,3.67493595230629,-3.02506404769371,3.07493595230629,ok,3.70920445072691,0.0080455840455838,trusted_domain_recalibration,109581,-0.272086013608475,sensor_stream_low_state_histogram,0.5,3.70920445072691,1.41093474426809,355,1,good
3,6,20,245179,245179,1,2,21,20,NaN,0,common_by_blade_external_plan_bic_change_point_first_stationary_segment,-8.27194088602357,8.33534874017114,-8.25602214465748,8.35126748153724,-0.0159187413660938,-0.0194981681421354,-0.0194981681421354,-0.0159187413660938,0.00357942677604164,accepted,detected_from_current_template_points,raw_low_speed_wide_window_full_point_cloud_gradient_weight_sgfit_center,-3.52214982204249,3.49785017795751,7.02,-7.84214982204249,7.85785017795751,0.437850177957509,3.59785017795751,-3.02214982204249,2.99785017795751,ok,3.80172920991834,0.00724102564102539,trusted_domain_recalibration,108353,-0.272086013608475,sensor_stream_low_state_histogram,0.5,3.80172920991834,1.45163478496813,351,1,good
