half_width_mm,template_rmse,derivative_rmse,score,gap_sensitivity,valid_gap_count
2.5,0.0301565889372391,0.0455617843752054,2.28133595420118,0.0742655104761347,14
2.75,0.0252477776343878,0.0454867739013043,1.95516473483494,0.0712393838872816,14
3,0.021470870813426,0.0449722689467853,1.70675611082204,0.0680330016057625,14
3.25,0.0186220036925624,0.0442688888410301,1.5231626801291,0.0647370116954663,14
3.5,0.0164418801779165,0.0436971766861089,1.38795752352944,0.0614392923874287,14
3.75,0.0147762037902228,0.0431588795036578,1.28986407572604,0.0582207839426981,14
3.76710545454545,0.0146769566201625,0.0430964172348575,1.28413017316399,0.0580002683968518,14
