case_name,sensor_id,row_count,rev_id_mismatch_count,rev_id_mismatch_ratio,event_in_rev_mismatch_count,event_in_rev_mismatch_ratio
1000_2500_3500,1,37845,0,0,0,0
1000_2500_3500,2,37845,0,0,0,0
1000_2500_3500,3,37845,0,0,0,0
