case_name,blade_id,sensor_tag,window_id,lap_start,lap_end,window_center_time_s,rot_freq_mean_hz,rot_rpm_mean,A_id,EO_id,fn_id,phi_id_wrapped,dx_c_id,d0_id,sensor_eta_max_abs_mm,decision_score,static_residual_rmse_mm,seed_weighted_voltage_rmse,weighted_voltage_rmse,plain_voltage_rmse,second_best_EO_id,second_best_rmse_v,second_best_decision_score,eo_decision_score_gap,eo_decision_score_gap_ratio,eo_rmse_gap_v,eo_rmse_gap_ratio,eo_candidate_count,eo_finite_candidate_count,eo_top_list,core_EO_id,expanded_EO_id,phase_reference_EO_id,final_EO_changed_after_expansion,valid_segment_count,valid_sensor_count,valid_lap_count,expected_valid_pass_count,min_valid_pass_count,min_valid_sensor_count,min_valid_lap_count,valid_pass_fraction,point_count,vp_point_count,core_vp_point_count,expanded_vp_point_count,vp_screening_policy,vp_screening_fallback,candidate_point_count,core_point_count,expanded_point_count,inside_domain_count,inside_guard_count,dynamic_effective_count,main_pulse_count,query_guard_source,query_guard_mean_mm,query_safe_left_min_mm,query_safe_right_max_mm,local_A_id,local_EO_id,local_fn_id,local_phi_id_wrapped,local_dx_c_id,local_decision_score,local_weighted_voltage_rmse,local_plain_voltage_rmse,local_status,local_failure_reason,joint_reported_EO_id,reported_eo_source,reported_refit_applied,reported_refit_status,reported_refit_failure_reason,reported_vs_local_rmse_delta_v,reported_vs_local_rmse_ratio,fit_stage,status,failure_reason
1000_2500_3500,5,S123,1,1,3,50.2456567,41.6092363333906,2496.55418000344,0.0626953056271108,20,832.184726667812,-0.845974034571733,0.0263666707916501,0.0263666707916501,0,0.0211638704063047,0.0860964855321007,0.0211671054711628,0.0211638704063047,0.0588069446223122,9,0.0221348580735066,0.0221348580735066,0.000970987667201939,0.0458794940887884,0.000970987667201939,0.0458794940887884,7,7,20|9|21|8|10,20,NaN,NaN,0,9,3,3,9,5,2,2,1,16882,16882,16882,NaN,fit_bundle,,54000,16882,16882,19708,17041,19156,16882,step04_x_query_safe_domain,0.5,-3.14839900087606,3.07493595230629,0.0626953056271108,20,832.184726667812,-0.845974034571733,0.0263666707916501,0.0211638704063047,0.0211638704063047,0.0588069446223122,ok,,NaN,realtime_window_local,0,,,NaN,NaN,core_query_safe,ok,
1000_2500_3500,5,S123,2,2,4,50.2696873,41.6103620633216,2496.6217237993,0.0692288394066048,20,832.207241266433,-0.958270352605751,0.0211315140224473,0.0211315140224473,0,0.0229223337291385,0.0856062504054905,0.0229240711145795,0.0229223337291385,0.0586680614766744,9,0.0242632504908173,0.0242632504908173,0.00134091676167872,0.0584982653827333,0.00134091676167872,0.0584982653827333,7,7,20|9|8|21|10,20,NaN,NaN,0,9,3,3,9,5,2,2,1,16874,16874,16874,NaN,fit_bundle,,54000,16874,16874,19706,17040,19192,16874,step04_x_query_safe_domain,0.5,-3.14839900087606,3.07493595230629,0.0692288394066048,20,832.207241266433,-0.958270352605751,0.0211315140224473,0.0229223337291385,0.0229223337291385,0.0586680614766744,ok,,NaN,realtime_window_local,0,,,NaN,NaN,core_query_safe,ok,
1000_2500_3500,5,S123,3,3,5,50.2937217,41.6100372238134,2496.6022334288,0.0722857387235186,20,832.200744476267,-1.05648989763271,0.019562485419501,0.019562485419501,0,0.0234324236868571,0.0851135428799114,0.0234386565561963,0.0234324236868571,0.0572710021139897,9,0.0250884172772505,0.0250884172772505,0.00165599359039341,0.0706710331173393,0.00165599359039341,0.0706710331173393,7,7,20|9|21|8|10,20,NaN,NaN,0,9,3,3,9,5,2,2,1,16796,16796,16796,NaN,fit_bundle,,54000,16796,16796,19707,17041,19107,16796,step04_x_query_safe_domain,0.5,-3.14839900087606,3.07493595230629,0.0722857387235186,20,832.200744476267,-1.05648989763271,0.019562485419501,0.0234324236868571,0.0234324236868571,0.0572710021139897,ok,,NaN,realtime_window_local,0,,,NaN,NaN,core_query_safe,ok,
1000_2500_3500,5,S123,4,4,6,50.3177547,41.6085450193078,2496.51270115847,0.0697121858817542,20,832.170900386155,-1.08979447198194,0.0248712860092633,0.0248712860092633,0,0.021805814981986,0.0807448700672494,0.0218160033210713,0.021805814981986,0.0532721333892255,21,0.0234581875627983,0.0234581875627983,0.00165237258081236,0.0757766945274645,0.00165237258081236,0.0757766945274645,7,7,20|21|10|9|8,20,NaN,NaN,0,9,3,3,9,5,2,2,1,16797,16797,16797,NaN,fit_bundle,,54000,16797,16797,19708,17043,19073,16797,step04_x_query_safe_domain,0.5,-3.14839900087606,3.07493595230629,0.0697121858817542,20,832.170900386155,-1.08979447198194,0.0248712860092633,0.021805814981986,0.021805814981986,0.0532721333892255,ok,,NaN,realtime_window_local,0,,,NaN,NaN,core_query_safe,ok,
1000_2500_3500,5,S123,5,5,7,50.3417879,41.6079082521233,2496.4744951274,0.0673956951618083,20,832.158165042466,-0.9551583455969,0.0301045925050293,0.0301045925050293,0,0.0203418947214804,0.0835361926407405,0.0203519848884844,0.0203418947214804,0.0522722129546445,9,0.022194981373272,0.022194981373272,0.00185308665179168,0.09109705251964,0.00185308665179168,0.09109705251964,7,7,20|9|8|21|10,20,NaN,NaN,0,9,3,3,9,5,2,2,1,16765,16765,16765,NaN,fit_bundle,,54000,16765,16765,19709,17044,19016,16765,step04_x_query_safe_domain,0.5,-3.14839900087606,3.07493595230629,0.0673956951618083,20,832.158165042466,-0.9551583455969,0.0301045925050293,0.0203418947214804,0.0203418947214804,0.0522722129546445,ok,,NaN,realtime_window_local,0,,,NaN,NaN,core_query_safe,ok,
1000_2500_3500,5,S123,6,6,8,50.3658235,41.6080229847338,2496.48137908403,0.075605720777891,20,832.160459694675,-0.823659835932428,0.0320403708497713,0.0320403708497713,0,0.021861427306347,0.0886002856617647,0.0218674464189538,0.021861427306347,0.0531458027282203,21,0.0237900637252578,0.0237900637252578,0.00192863641891079,0.0882209744077805,0.00192863641891079,0.0882209744077805,7,7,20|21|9|8|10,20,NaN,NaN,0,9,3,3,9,5,2,2,1,16771,16771,16771,NaN,fit_bundle,,54000,16771,16771,19708,17043,19046,16771,step04_x_query_safe_domain,0.5,-3.14839900087606,3.07493595230629,0.075605720777891,20,832.160459694675,-0.823659835932428,0.0320403708497713,0.021861427306347,0.021861427306347,0.0531458027282203,ok,,NaN,realtime_window_local,0,,,NaN,NaN,core_query_safe,ok,
1000_2500_3500,5,S123,7,7,9,50.3898573,41.6096029239772,2496.57617543863,0.0727983205701219,20,832.192058479545,-0.778577984284945,0.0306711156902514,0.0306711156902514,0,0.02264919923439,0.086814319358842,0.0226504660610432,0.02264919923439,0.0542062262613439,21,0.0237411921341044,0.0237411921341044,0.00109199289971434,0.0482133115795232,0.00109199289971434,0.0482133115795232,7,7,20|21|9|10|8,20,NaN,NaN,0,9,3,3,9,5,2,2,1,16770,16770,16770,NaN,fit_bundle,,54000,16770,16770,19706,17041,19055,16770,step04_x_query_safe_domain,0.5,-3.14839900087606,3.07493595230629,0.0727983205701219,20,832.192058479545,-0.778577984284945,0.0306711156902514,0.02264919923439,0.02264919923439,0.0542062262613439,ok,,NaN,realtime_window_local,0,,,NaN,NaN,core_query_safe,ok,
1000_2500_3500,5,S123,8,8,10,50.4138863,41.6105649646317,2496.6338978779,0.0727080097968307,20,832.211299292634,-0.747046320381807,0.0333620605770885,0.0333620605770885,0,0.0241806941571094,0.0882219781706841,0.0241820535906664,0.0241806941571094,0.0576771036510094,21,0.0250544871598469,0.0250544871598469,0.000873793002737468,0.0361359767862811,0.000873793002737468,0.0361359767862811,7,7,20|21|9|10|12,20,NaN,NaN,0,9,3,3,9,5,2,2,1,16824,16824,16824,NaN,fit_bundle,,54000,16824,16824,19707,17041,19075,16824,step04_x_query_safe_domain,0.5,-3.14839900087606,3.07493595230629,0.0727080097968307,20,832.211299292634,-0.747046320381807,0.0333620605770885,0.0241806941571094,0.0241806941571094,0.0576771036510094,ok,,NaN,realtime_window_local,0,,,NaN,NaN,core_query_safe,ok,
1000_2500_3500,5,S123,9,9,11,50.4379209,41.6112451704986,2496.67471022992,0.0683011638369783,20,832.224903409973,-0.791698670686698,0.035256383169015,0.035256383169015,0,0.0232233091832416,0.0845789371373364,0.0232299521320082,0.0232233091832416,0.0591710740658721,21,0.0243028776597128,0.0243028776597128,0.00107956847647119,0.0464864187938482,0.00107956847647119,0.0464864187938482,7,7,20|21|9|10|8,20,NaN,NaN,0,9,3,3,9,5,2,2,1,16913,16913,16913,NaN,fit_bundle,,54000,16913,16913,19707,17042,19125,16913,step04_x_query_safe_domain,0.5,-3.14839900087606,3.07493595230629,0.0683011638369783,20,832.224903409973,-0.791698670686698,0.035256383169015,0.0232233091832416,0.0232233091832416,0.0591710740658721,ok,,NaN,realtime_window_local,0,,,NaN,NaN,core_query_safe,ok,
1000_2500_3500,5,S123,10,10,12,50.4619533,41.6101495550116,2496.60897330069,0.0739073748706461,20,832.202991100231,-0.781033699516316,0.0289357496376256,0.0289357496376256,0,0.0232324057726404,0.0907959019093108,0.0232344640982815,0.0232324057726404,0.0607197700859351,9,0.0246275886138542,0.0246275886138542,0.00139518284121389,0.0600533089369905,0.00139518284121389,0.0600533089369905,7,7,20|9|21|8|5,20,NaN,NaN,0,9,3,3,9,5,2,2,1,16961,16961,16961,NaN,fit_bundle,,54000,16961,16961,19707,17042,19194,16961,step04_x_query_safe_domain,0.5,-3.14839900087606,3.07493595230629,0.0739073748706461,20,832.202991100231,-0.781033699516316,0.0289357496376256,0.0232324057726404,0.0232324057726404,0.0607197700859351,ok,,NaN,realtime_window_local,0,,,NaN,NaN,core_query_safe,ok,
1000_2500_3500,5,S123,11,11,13,50.4859835,41.6097320102527,2496.58392061516,0.06971538759327,20,832.194640205055,-0.9023199416826,0.0249559935921273,0.0249559935921273,0,0.0227193514746174,0.090684212486078,0.0227240028256042,0.0227193514746174,0.0601432948440391,9,0.0241598546273775,0.0241598546273775,0.00144050315276015,0.0634042373247104,0.00144050315276015,0.0634042373247104,7,7,20|9|21|8|10,20,NaN,NaN,0,9,3,3,9,5,2,2,1,16906,16906,16906,NaN,fit_bundle,,54000,16906,16906,19706,17041,19159,16906,step04_x_query_safe_domain,0.5,-3.14839900087606,3.07493595230629,0.06971538759327,20,832.194640205055,-0.9023199416826,0.0249559935921273,0.0227193514746174,0.0227193514746174,0.0601432948440391,ok,,NaN,realtime_window_local,0,,,NaN,NaN,core_query_safe,ok,
