sensorId,model,rmseMv,g0Mm,tauMm,xScale,muGapPerXMm,voltageGain,domainFeasible,gMarginMm,xMarginMm,activeBoundary,exitFlag
1,P0_g0,85.8622504733454,0.996780767629746,0,1,0,1,1,0.096614499748674,0.231641571878131,0,2
1,P1_g0_gain,63.7925187690501,0.900166267881072,0,1,0,0.900360588229295,1,0,0.231641571878131,1,1
1,P2_registration,34.949335844874,0.902074767706854,-0.024110731229959,1.02251877335907,0,0.912109591529024,1,0.0019084998257819,0.179288244324945,0,2
1,P3_full_transfer,27.013006225734,0.97970745974612,-0.0826284648428919,1.03485277069221,-0.0237907092428669,0.995280004138244,1,-1.60506996582654e-09,0.0782156205929985,1,2
3,P0_g0,102.339260418583,1.13652789238511,0,1,0,1,1,0.236361624504039,0.139015881928836,0,2
3,P1_g0_gain,71.8556348165068,0.900166267881072,0,1,0,0.785135878356522,1,0,0.139015881928836,1,1
3,P2_registration,49.7007217703008,1.06955605329922,-0.0426928645402306,1.03711784064296,0,0.952475781500762,1,0.169389785418146,0.0611058598057981,0,2
3,P3_full_transfer,26.2165299171585,1.09579480462229,-0.17218932293993,1.04289190107668,-0.057873004394569,0.973628477025693,1,-5.17541343114658e-10,0.0128184286485844,1,2
6,P0_g0,92.8765338869075,1.05498143390763,0,1,0,1,1,0.154815166026562,0.209368489929253,0,2
6,P1_g0_gain,62.9822549420409,0.900166267881072,0,1,0,0.849066582186019,1,0,0.209368489929253,1,1
6,P2_registration,49.2460071789524,0.951179075464732,-0.0116486658232153,1.02684831442445,0,0.908853538593271,1,0.0510128075836601,0.134837267221701,0,2
6,P3_full_transfer,31.6484503347426,1.05304260103265,-0.117228670139793,1.04410729697877,-0.0455572217203948,1.01246789391823,1,-2.94452129345757e-10,0.0344034561894575,1,2
