case_name,GroupCount,mean_mean_abs_err_x0_mm,mean_max_abs_err_x0_mm,mean_mean_abs_err_xi_mm,mean_max_abs_err_xi_mm,mean_mean_rel_err_x0_percent
Constant shift,7,0.000782856226073806,0.00303889182180545,0.000782856226073799,0.00303889182180539,0.0157030732357948
Fast sine drift,7,0.143870373131308,0.196754517708516,0.000759090746639448,0.00258731070981514,3.4237793457349
Moderate sine drift,7,0.10994282910146,0.151529917890505,0.00092005447442679,0.00372364829063747,2.11886532764618
No vibration,7,0.000864734115450077,0.00248205927430429,0.000864734115450077,0.00248205927430429,0.0170826093134827
Slow linear drift,7,0.0297990436949085,0.0478338344419585,0.00113482642683775,0.00393561343148934,0.557116301779547
