feature,tag,R2_linear_g,R2_linear_1overg,R2_shifted_inv,R2_power,R2_exponential
"Peak P(g)",peak,0.796586071927886,0.994734999376939,0.999782752393567,0.994408963580956,0.913078599826308
"Area S(g)",area,0.817638572543884,0.990019936013911,0.999692467171286,0.992927572469091,0.924397011099234
"FWHM(g)",fwhm,0.931681110522412,0.924422117645712,0.995983115303868,0.997733972855221,0.923473234267131
"Width w(q=0.10,g)",width_q10,0.926093528285629,0.925144774877948,0.999862080804801,0.998783465241643,0.911963375595575
"Width w(q=0.25,g)",width_q25,0.957242712317691,0.889905946906128,0.99960326940239,0.99824036831243,0.947054377618125
"Width w(q=0.50,g)",width_q50,0.931681110522412,0.924422117645712,0.995983115303868,0.997733972855221,0.923473234267131
"Width w(q=0.75,g)",width_q75,0.737798091801992,0.994832784749093,0.994948449703869,0.916616196925103,0.730541882743965
"Width w(q=0.90,g)",width_q90,0.49132245168908,0.929610771017779,0.98899906368026,0.731284045941874,0.484282044569994
