coord_system,tag,mean_shape_rmse,max_shape_rmse,mean_shape_corr,min_shape_corr
Raw x,raw_x,0.0338208748733832,0.088553534805148,0.997928754163731,0.991807765346728
Peak-centered x,peak_centered,0.0363513754417805,0.0922673586841686,0.99700774028977,0.988301153079205
Width-normalized,width_norm,0.00917686937497197,0.0213441030877241,0.999403685332816,0.997735179936922
Equal-level registered,equal_level,0.00042653667690003,0.000748094280376744,0.9999990405089,0.999997592555391
