model_type,mean_shape_rmse,max_shape_rmse,mean_shape_corr,min_shape_corr,mean_recon_rmse_pF,max_recon_rmse_pF
Type A: A*H(x) - amplitude only,0.0363513754417805,0.0922673586841686,0.99700774028977,0.988301153079205,0.00292768261712778,0.00743106188395312
Type B: A*H(x/w) - amplitude + width,0.00917686937497197,0.0213441030877241,0.999403685332816,0.997735179936922,0.00497653938203081,0.0126352595851772
Type C: A*H(u) - full registration,0.00042653667690003,0.000748094280376744,0.9999990405089,0.999997592555391,3.43529198827568e-05,6.02509098755748e-05
