gap_mm,shape_rmse_A,shape_rmse_B,shape_rmse_C,shape_corr_A,shape_corr_B,shape_corr_C,recon_rmse_A,recon_rmse_B,recon_rmse_C
0.2,0.0922673586841686,0.0213441030877241,0.000748094280376744,0.988301153079205,0.997735179936922,0.999997592555391,0.00743106188395312,0.0126352595851772,6.02509098755748e-05
0.4,0.0575837735169106,0.0110180544384376,0.000477594141403421,0.996164242262271,0.999432192793717,0.999999018241413,0.00463768323650175,0.00816478537060537,3.84650468872834e-05
0.6,0.041502511563812,0.0110418558285004,0.00045131496737079,0.997434331990507,0.999408287790346,0.999999125268809,0.00334251936475548,0.00570360120529849,3.63485434093434e-05
0.8,0.0264275874051499,0.00500269670770659,0.0004636033181308,0.999089312618024,0.999889365135291,0.999999091230622,0.00212839293173389,0.00397129078618957,3.73382372668983e-05
1,0.0210239991621768,0.00819053298648362,0.000376209855795002,0.998903473079095,0.999658665401763,0.999999398717398,0.00169320251952916,0.00262576815232563,3.02996383081452e-05
1.2,0.0156543977602452,0.00764084257595145,0.000468940175223453,0.999161668999287,0.999702106271671,0.999999057548664,0.00126075188859928,0.00169593548290244,3.77680634320525e-05
1.4,0,0,0,1,1,1,1.66494821800723e-07,3.91350917169566e-05,0
