rank,var_raw,cumvar_raw,var_registered,cumvar_registered,var_shape,cumvar_shape,rel_err_raw,rel_err_registered,rel_err_shape
1,0.997952624156801,0.997952624156801,0.99999970414117,0.99999970414117,0.999999718161112,0.999999718161112,0.0452479374468971,0.000543929066763556,0.000530885004047507
2,0.00187007894296182,0.999822703099763,2.37543781066919e-07,0.999999941684951,1.220872313887e-07,0.999999840248344,0.0133152882145483,0.000241485089815822,0.000399689449615351
3,0.000172307629537077,0.9999950107293,2.31001749908182e-08,0.999999964785126,4.68739827613149e-08,0.999999887122327,0.00223366754451336,0.000187656264517167,0.000335972727126038
4,4.0620853973336e-06,0.999999072814698,1.66267534512354e-08,0.99999998141188,4.28275890071174e-08,0.999999929949916,0.000962904617331705,0.000136338256411403,0.000264669764735962
5,5.470050239138e-07,0.999999619819722,9.67217529515108e-09,0.999999991084055,3.01708052331904e-08,0.999999960120721,0.000616587607858703,9.44242811259401e-05,0.000199697969774855
