% Model:              wave_0.5_直叶片2mm_倾斜0deg-不同间隙对比 - 副本.mph
% Version:            COMSOL 6.3.0.290
% Date:               Jun 10 2026, 08:31
% Dimension:          1
% Nodes:              966
% Expressions:        1
% Description:        全局
% theta*67 (rad)          Value
-5.36                     0.11546669795447605
-5.36                     0.11381864730541583
-5.36                     0.11233160626491998
-5.36                     0.11093463854376484
-5.36                     0.11015884649387142
-5.36                     0.10883212573379597
-5.293                    0.11621958644565421
-5.293                    0.11476753279213983
-5.293                    0.11300175475745039
-5.293                    0.11194391115106608
-5.293                    0.11072294272819515
-5.293                    0.1096696801592752
-5.226                    0.11693463568425759
-5.226                    0.11548114264559116
-5.226                    0.11396856454380261
-5.226                    0.11248104223634921
-5.226                    0.11132967136074898
-5.226                    0.11014680953044892
-5.159                    0.11774347577930612
-5.159                    0.11618429799388262
-5.159                    0.11444458664958912
-5.159                    0.1128809054029679
-5.159                    0.11176884763376264
-5.159                    0.11043482705415326
-5.092                    0.11859777161976391
-5.092                    0.11701627856186654
-5.092                    0.1154768228795694
-5.092                    0.1135516930230688
-5.092                    0.11239737360569484
-5.092                    0.11110047641715257
-5.0249999999999995       0.11950286888762382
-5.0249999999999995       0.11778571764589424
-5.0249999999999995       0.1160210118137811
-5.0249999999999995       0.11442266120447575
-5.0249999999999995       0.1128090418731519
-5.0249999999999995       0.11173936874555623
-4.958                    0.1203863689339293
-4.958                    0.1185814395144778
-4.958                    0.11683807943699637
-4.958                    0.11510510437712489
-4.958                    0.11354651647030016
-4.958                    0.11222538466435365
-4.891                    0.12138082595787879
-4.891                    0.11957640398902794
-4.891                    0.11770521455941359
-4.891                    0.11589524922283626
-4.891                    0.11431346508247564
-4.891                    0.11255552813171867
-4.824000000000001        0.12239667289538816
-4.824000000000001        0.1202419414639884
-4.824000000000001        0.11837399340802525
-4.824000000000001        0.11649120189278823
-4.824000000000001        0.11489202803634434
-4.824000000000001        0.11363898430325114
-4.757000000000001        0.12354714073431311
-4.757000000000001        0.12124475899165701
-4.757000000000001        0.11928077037285108
-4.757000000000001        0.1174678699413055
-4.757000000000001        0.11566733543687552
-4.757000000000001        0.1140007366992404
-4.69                     0.12464244370027834
-4.69                     0.12226819848538895
-4.69                     0.12020997157887253
-4.69                     0.11835456304481703
-4.69                     0.11640333329885948
-4.69                     0.11499192029635935
-4.623                    0.1258081860729831
-4.623                    0.12345010675785636
-4.623                    0.12127966206179178
-4.623                    0.1192706293116655
-4.623                    0.11718259482605961
-4.623                    0.11547658856947748
-4.556                    0.12724132827180656
-4.556                    0.12483029284499944
-4.556                    0.12255955105023188
-4.556                    0.1200652858865621
-4.556                    0.11804248027679365
-4.556                    0.11611883501798903
-4.489                    0.12863239085774483
-4.489                    0.12615940257905203
-4.489                    0.12367877375973498
-4.489                    0.12117516431046764
-4.489                    0.11902034516949822
-4.489                    0.11691677260032554
-4.422000000000001        0.13010109127258537
-4.422000000000001        0.12734667925620202
-4.422000000000001        0.12469267649562905
-4.422000000000001        0.12223855575184712
-4.422000000000001        0.11969657370484277
-4.422000000000001        0.11762224995236092
-4.355                    0.13169784720648098
-4.355                    0.12884943254204237
-4.355                    0.12607189117444131
-4.355                    0.12275007299319206
-4.355                    0.12077791415012179
-4.355                    0.11853691974228607
-4.288                    0.1334153998516909
-4.288                    0.13004713453521724
-4.288                    0.12717262352539463
-4.288                    0.12432827799486557
-4.288                    0.1220292921628179
-4.288                    0.11954895774346375
-4.221                    0.13529161476899892
-4.221                    0.1318638610927329
-4.221                    0.12815490185990458
-4.221                    0.12545559589930444
-4.221                    0.12290995975962275
-4.221                    0.1203544421644858
-4.154                    0.1371924963190266
-4.154                    0.1334343017289547
-4.154                    0.12952098124526823
-4.154                    0.12653641638347404
-4.154                    0.12404025970055241
-4.154                    0.12112703509498311
-4.087                    0.13927199724600958
-4.087                    0.13518039279147884
-4.087                    0.13130143826428814
-4.087                    0.12790737449561806
-4.087                    0.12493634657100977
-4.087                    0.12219183468290547
-4.02                     0.14150830787504995
-4.02                     0.1370796131006849
-4.02                     0.1328239408214168
-4.02                     0.12894319337618607
-4.02                     0.12602856736397877
-4.02                     0.12311977843725175
-3.953                    0.1438531834371
-3.953                    0.1388131366529894
-3.953                    0.13406588114645773
-3.953                    0.1301141351830468
-3.953                    0.12702630188430036
-3.953                    0.12413559832153732
-3.886                    0.1464497800604595
-3.886                    0.14080143567709077
-3.886                    0.13633564876545742
-3.886                    0.13162233670995563
-3.886                    0.1283956805015366
-3.886                    0.1251038407547045
-3.819                    0.14920455451616432
-3.819                    0.14307159116164803
-3.819                    0.13783601974995857
-3.819                    0.13302863176595733
-3.819                    0.12932618547999566
-3.819                    0.1262477840780608
-3.7520000000000002       0.15206209535420348
-3.7520000000000002       0.14549898187330465
-3.7520000000000002       0.13981047835655164
-3.7520000000000002       0.1348047685017319
-3.7520000000000002       0.13096239940108412
-3.7520000000000002       0.12724343325802068
-3.685                    0.1551431172167885
-3.685                    0.1476937041998257
-3.685                    0.14145382563847503
-3.685                    0.13644623192681757
-3.685                    0.1321308793644849
-3.685                    0.12857541199295006
-3.618                    0.15850003490309314
-3.618                    0.150265316808554
-3.618                    0.1435211433734603
-3.618                    0.13800181593798222
-3.618                    0.1332522914811695
-3.618                    0.1294675803874454
-3.551                    0.16188615062519435
-3.551                    0.15285336978549216
-3.551                    0.14540427633628555
-3.551                    0.13968354769026925
-3.551                    0.1347848110506569
-3.551                    0.13075732079702893
-3.4840000000000004       0.16557519613686925
-3.4840000000000004       0.15553811320310765
-3.4840000000000004       0.1477969530235556
-3.4840000000000004       0.14137662839182202
-3.4840000000000004       0.13608710471915492
-3.4840000000000004       0.13197311178781315
-3.4170000000000003       0.16929249991949413
-3.4170000000000003       0.15833176812327487
-3.4170000000000003       0.1498026928156756
-3.4170000000000003       0.14312345843379778
-3.4170000000000003       0.1376957658823076
-3.4170000000000003       0.1330851850597499
-3.35                     0.17316824866993716
-3.35                     0.16110065711665916
-3.35                     0.1521156803710626
-3.35                     0.14494442343883704
-3.35                     0.13891856331014973
-3.35                     0.13414442395262716
-3.283                    0.17727680791127184
-3.283                    0.16442963012919548
-3.283                    0.15475781528370747
-3.283                    0.14651611922849875
-3.283                    0.14081952664909828
-3.283                    0.1356413739960912
-3.216                    0.18149782724016694
-3.216                    0.1672706207994233
-3.216                    0.15720426737496976
-3.216                    0.1485201590284732
-3.216                    0.14224684808473237
-3.216                    0.13681868899022948
-3.149                    0.18588249649875366
-3.149                    0.17064925917171106
-3.149                    0.1594222395874107
-3.149                    0.15051317568649042
-3.149                    0.14375278280832343
-3.149                    0.13796918424466015
-3.082                    0.190311106204322
-3.082                    0.17379569499668499
-3.082                    0.16196240137216578
-3.082                    0.15252330767488476
-3.082                    0.14540106024123314
-3.082                    0.13936203314566464
-3.0149999999999997       0.19494820786202033
-3.0149999999999997       0.17720656980648775
-3.0149999999999997       0.16437473763251143
-3.0149999999999997       0.1544828860614689
-3.0149999999999997       0.1469247831218808
-3.0149999999999997       0.14055314185481058
-2.948                    0.19961582359566235
-2.948                    0.18062181440450162
-2.948                    0.16706539001497012
-2.948                    0.15641446501742248
-2.948                    0.14837827866294487
-2.948                    0.14204522635771463
-2.8810000000000002       0.2043749260168786
-2.8810000000000002       0.1841294294230233
-2.8810000000000002       0.16969643872261853
-2.8810000000000002       0.1585434274056068
-2.8810000000000002       0.15028234264802479
-2.8810000000000002       0.14343357704126702
-2.814                    0.2092729797078339
-2.814                    0.18754859323010328
-2.814                    0.17232083058909528
-2.814                    0.16054797601317464
-2.814                    0.15180975822012072
-2.814                    0.14478242607741504
-2.7470000000000003       0.21419914696174983
-2.7470000000000003       0.1909748433185137
-2.7470000000000003       0.17464275540999616
-2.7470000000000003       0.16261289449879202
-2.7470000000000003       0.15344360038196536
-2.7470000000000003       0.14623932959829103
-2.68                     0.219145412821455
-2.68                     0.1944578336831471
-2.68                     0.17730622683898284
-2.68                     0.16462881000882834
-2.68                     0.1550756055080654
-2.68                     0.1476292061625003
-2.613                    0.2242343876445304
-2.613                    0.1978507060191864
-2.613                    0.18017817513275117
-2.613                    0.16682943837868225
-2.613                    0.15674416106701233
-2.613                    0.14882927332578402
-2.546                    0.22921932415947815
-2.546                    0.2016962050868508
-2.546                    0.18266044004692375
