vib_case,GroupCount,mean_eta,mean_err_width_mm,mean_err_width_interp_mm,mean_err_peak_mm,mean_err_corr_mm,mean_err_oracle_mm,rmse_width_mm,rmse_corr_mm,rmse_oracle_mm
Moderate vib,7,0.00314159265358979,0,-0.0165408300593067,0,0,0,0,0,0
No vibration,7,0,0,-1.3687483686147e-11,0,0,0,0,0,0
Strong vib,7,0.0100530964914873,0,-0.0298681485134506,0,0,0,0,0,0
Very strong vib,7,0.0251327412287183,-0.171428571428571,-0.0913970091771983,0,0.0285714285714286,-0.171428571428571,0,0,0
Weak vib,7,0.000628318530717959,0,-0.00531808872191555,0,0,0,0.18516401995451,0.0755928946018455,0.18516401995451
