gap_true_mm,gap_est_mm,gap_err_mm,vib_case,vib_A_true_mm,vib_f_true_Hz,vib_A_est_mm,vib_A_err_mm,vib_phi_est_rad,uEff_rms_mm,uEff_fit_rmse_mm,recon_rmse_pF,n_valid_u_points
0.4,0.396205900865555,-0.00379409913444484,Moderate vib,0.3,500,0.975760911288835,0.675760911288835,-1.6817629028511,0.978108472503862,0.130668763527042,3.81394821507127e-05,1401
0.4,0.383252030612613,-0.0167479693873867,Strong vib,0.6,800,0.972100062217247,0.372100062217247,-1.63354507318938,0.977981728158771,0.13145870949117,3.76741025503953e-05,1401
0.8,0.803497198098343,0.00349719809834304,Moderate vib,0.3,500,0.870610492775759,0.570610492775759,-1.47689713929501,0.901577514171709,0.249510384899297,3.70526340795737e-05,1401
0.8,0.791979865336162,-0.00802013466383833,Strong vib,0.6,800,0.867225604180449,0.267225604180449,-1.50811514235484,0.900103908429192,0.250777757835395,3.64577987086292e-05,1401
1.2,1.2022501755533,0.00225017555329887,Moderate vib,0.3,500,0.492686317428422,0.192686317428422,-1.55408700047863,0.602001340182283,0.346379974577286,3.74142375635585e-05,1401
1.2,1.17767498295127,-0.0223250170487266,Strong vib,0.6,800,0.481464125761599,-0.118535874238401,-1.53710231233374,0.59363124016125,0.348494903658896,3.51896163051091e-05,1401
