gap_true_mm,vib_A_mm,vib_f_Hz,eta,gHat_raw_corr_mm,gHat_raw_rmse_mm,gHat_width_mm,err_raw_corr_mm,err_raw_rmse_mm,err_width_mm,raw_corr_correct,raw_rmse_correct,width_correct,best_raw_corr,best_width_dist,width_correct_rank,width_separability
0.2,0.7,600,0.00879645943005142,0.2,0.2,0.2,0,0,0,1,1,1,0.999969001077296,0.000199377334566212,1,9.14007064829651
0.2,0.7,800,0.0117286125734019,0.2,0.2,0.2,0,0,0,1,1,1,0.999945077524611,0.000225347077433932,1,8.07956315391931
0.2,0.7,1000,0.0146607657167524,0.2,0.2,0.2,0,0,0,1,1,1,0.999913557986314,0.000284733078146681,1,6.39543707228576
0.2,1,0,0,0.2,0.2,0.2,0,0,0,1,1,1,1,4.33333785409995e-17,1,8267550928074.41
0.2,1,200,0.00418879020478639,0.2,0.2,0.2,0,0,0,1,1,1,0.99999285747261,6.61392164287038e-05,1,27.6280338356834
0.2,1,400,0.00837758040957278,0.2,0.2,0.2,0,0,0,1,1,1,0.999971799291933,0.000185877919863119,1,9.80905574366879
0.2,1,600,0.0125663706143592,0.2,0.2,0.2,0,0,0,1,1,1,0.999936753897105,0.000235118272172089,1,7.74355263307308
0.2,1,800,0.0167551608191456,0.2,0.2,0.2,0,0,0,1,1,1,0.999887149190616,0.000336788424428508,1,5.40673890903774
0.2,1,1000,0.020943951023932,0.2,0.2,0.2,0,0,0,1,1,1,0.999824530561254,0.000430809535456258,1,4.21875258151495
0.4,0,0,0,0.4,0.4,0.4,0,0,0,1,1,1,1,1.04775000276818e-16,1,8267550928074.23
0.4,0,200,0,0.4,0.4,0.4,0,0,0,1,1,1,1,1.04775000276818e-16,1,8267550928074.23
0.4,0,400,0,0.4,0.4,0.4,0,0,0,1,1,1,1,1.04775000276818e-16,1,8267550928074.23
0.4,0,600,0,0.4,0.4,0.4,0,0,0,1,1,1,1,1.04775000276818e-16,1,8267550928074.23
0.4,0,800,0,0.4,0.4,0.4,0,0,0,1,1,1,1,1.04775000276818e-16,1,8267550928074.23
0.4,0,1000,0,0.4,0.4,0.4,0,0,0,1,1,1,1,1.04775000276818e-16,1,8267550928074.23
0.4,0.05,0,0,0.4,0.4,0.4,0,0,0,1,1,1,1,3.04442734473391e-17,1,8267550928074.4
0.4,0.05,200,0.00020943951023932,0.4,0.4,0.4,0,0,0,1,1,1,0.999999985507594,7.17017478645526e-06,1,254.083680109585
0.4,0.05,400,0.000418879020478639,0.4,0.4,0.4,0,0,0,1,1,1,0.999999942025776,1.43956397913135e-05,1,125.576388680045
0.4,0.05,600,0.000628318530717959,0.4,0.4,0.4,0,0,0,1,1,1,0.999999869534224,2.16772774927933e-05,1,82.7386463304489
0.4,0.05,800,0.000837758040957278,0.4,0.4,0.4,0,0,0,1,1,1,0.999999768128616,2.89824320022773e-05,1,61.3922882057102
0.4,0.05,1000,0.0010471975511966,0.4,0.4,0.4,0,0,0,1,1,1,0.999999637819526,3.62841186105837e-05,1,48.6460198090787
0.4,0.1,0,0,0.4,0.4,0.4,0,0,0,1,1,1,1,3.55512521017773e-17,1,8267550928074.38
0.4,0.1,200,0.000418879020478639,0.4,0.4,0.4,0,0,0,1,1,1,0.99999994202056,1.43959577899877e-05,1,125.573590847388
0.4,0.1,400,0.000837758040957278,0.4,0.4,0.4,0,0,0,1,1,1,0.999999768045557,2.89849236635304e-05,1,61.3869156811238
0.4,0.1,600,0.00125663706143592,0.4,0.4,0.4,0,0,0,1,1,1,0.999999478251973,4.36222120456434e-05,1,40.1357417825151
0.4,0.1,800,0.00167551608191456,0.4,0.4,0.4,0,0,0,1,1,1,0.999999072516088,5.84883279618825e-05,1,29.4393655939105
0.4,0.1,1000,0.0020943951023932,0.4,0.4,0.4,0,0,0,1,1,1,0.9999985510734,7.35728837863317e-05,1,23.0030262949269
0.4,0.2,0,0,0.4,0.4,0.4,0,0,0,1,1,1,1,2.52579550652517e-17,1,8267550928074.4
0.4,0.2,200,0.000837758040957278,0.4,0.4,0.4,0,0,0,1,1,1,0.999999768024791,2.89855486030019e-05,1,61.385568307065
0.4,0.2,400,0.00167551608191456,0.4,0.4,0.4,0,0,0,1,1,1,0.999999072183707,5.84942429844843e-05,1,29.4362561204327
0.4,0.2,600,0.00251327412287183,0.4,0.4,0.4,0,0,0,1,1,1,0.999997912608911,8.88207666567596e-05,1,18.7178819607032
0.4,0.2,800,0.00335103216382911,0.4,0.4,0.4,0,0,0,1,1,1,0.99999628979193,0.000118046163003081,1,13.6014446272166
0.4,0.2,1000,0.00418879020478639,0.4,0.4,0.4,0,0,0,1,1,1,0.999994204105222,0.000148451788415218,1,10.4169916192038
0.4,0.3,0,0,0.4,0.4,0.4,0,0,0,1,1,1,1,1.06427794703392e-16,1,8267550928074.19
0.4,0.3,200,0.00125663706143592,0.4,0.4,0.4,0,0,0,1,1,1,0.999999478127384,4.36249026276281e-05,1,40.1331932068198
0.4,0.3,400,0.00251327412287183,0.4,0.4,0.4,0,0,0,1,1,1,0.999997912298344,8.88249967308132e-05,1,18.716920083303
0.4,0.3,600,0.00376991118430775,0.4,0.4,0.4,0,0,0,1,1,1,0.999995303009725,0.000133070651596427,1,11.8461857011198
0.4,0.3,800,0.00502654824574367,0.4,0.4,0.4,0,0,0,1,1,1,0.9999916514561,0.000180376405157063,1,8.22830363674855
