scenario,num_revs_high,method,target_snr_db,freq_error_mean_Hz,freq_error_median_Hz,freq_error_p90_Hz,freq_error_std_Hz,amp_error_mean_mm,rmse_mean,elapsed_mean_s,gap_error_mean_mm,success_rate,boundary_hit_rate,num_trials
integer_500_1300,2,A_blind_transfer,10,1.11368740029922,1.04965513224883,1.33038410285168,0.260825901772242,0.014518811276365,0.00437046964913184,0.453093833333333,NaN,0.333333333333333,0,3
integer_500_1300,2,A7_dominant_aligned,10,99.3948647686156,75.1522801055403,134.758763810432,43.5403179288462,0.190354199841671,0.00560454970043432,0.457798133333333,NaN,0,1,3
integer_500_1300,2,B_gap_library_joint,10,0.682943992428894,0.69268285361386,0.89443657050399,0.266933714096291,0.00940096390143598,0.00497018567370604,0.0954347,0.00678548630141507,1,0,3
integer_500_1300,2,C_same_gap_direct,10,0.67818648812091,0.63694543407891,0.759899947962862,0.0985325025216891,0.0119640755460584,0.0049798191613259,0.0559358666666667,0,1,0,3
integer_500_1300,4,A_blind_transfer,10,0.269327966717242,0.318887117107437,0.406389888685356,0.188663955124562,0.0157437167986047,0.0053815991105858,0.6674647,NaN,1,0,3
integer_500_1300,4,A7_dominant_aligned,10,148.62152884332,148.208878287745,149.254167916918,0.774954133210983,0.190751221409133,0.00662677065986856,0.729787033333333,NaN,0,1,3
integer_500_1300,4,B_gap_library_joint,10,0.269189770057295,0.293312906295142,0.379167145008847,0.145015214966089,0.0118783377963169,0.00566716689554891,0.122635733333333,0.00706880620430754,1,0,3
integer_500_1300,4,C_same_gap_direct,10,0.281493478433674,0.321331081574669,0.393805306321531,0.154256778107641,0.0108435942954329,0.00566670144441079,0.0773660333333333,0,1,0,3
integer_500_1300,8,A_blind_transfer,10,0.29163781235394,0.269637562050633,0.322993230535957,0.0387079844192725,0.0094429680995729,0.00571666937652473,1.38487326666667,NaN,1,0,3
integer_500_1300,8,A7_dominant_aligned,10,124.549917701681,149.403976934681,149.603683604585,43.2648622225574,0.190096019726214,0.00686809218588524,0.964812966666667,NaN,0,1,3
integer_500_1300,8,B_gap_library_joint,10,0.105249952927532,0.106815305677969,0.134099288116886,0.0364782055339168,0.00589454282809806,0.00588691735404102,0.2411934,0.00709963619418282,1,0,3
integer_500_1300,8,C_same_gap_direct,10,0.104113391987208,0.11231253800338,0.114479920203894,0.0166029504288889,0.0054418929783512,0.0058819827240811,0.1072492,0,1,0,3
integer_500_1300,20,A_blind_transfer,10,0.0962921194942415,0.111752285020032,0.123892207114739,0.0406343123811119,0.0100257742540271,0.00600221407202038,3.72915933333333,NaN,1,0,3
integer_500_1300,20,A7_dominant_aligned,10,116.107714538391,123.988582024471,144.52612729851,38.1093631758615,0.187365115871886,0.00715269362311238,3.38392733333333,NaN,0,1,3
integer_500_1300,20,B_gap_library_joint,10,0.0235542123652503,0.023156810075335,0.0321689971212493,0.0106746798238097,0.00585835037495396,0.00603804304056746,0.562074266666667,0.00737175952980214,1,0,3
