scenario,num_revs_high,method,target_snr_db,measured_snr_db,noise_ratio,repeat_id,seed,g_used_mm,gap_error_mm,f1_Hz,f2_Hz,A1_mm,A2_mm,mean_freq_error_Hz,mean_amp_error_mm,rmse,elapsed_s,is_success,f1_boundary_hit,f2_boundary_hit,freq_boundary_hit,a2_eta_dynamic,a2_cond_dynamic
integer_500_1300,2,A_blind_transfer,10,10.0404022147488,0.0455024928535533,1,20361431,NaN,NaN,499.36161506126,1301.14329650755,0.257453358054201,0.127812603661908,0.890840723146425,0.0148203771961462,0.0042516317628056,0.6051089,1,0,0,0,NaN,NaN
integer_500_1300,2,A4_sensorcv_alias,10,10.0404022147488,0.0455024928535533,1,20361431,NaN,NaN,499.36161506126,1301.14329650755,0.257453358054201,0.127812603661908,0.890840723146425,0.0148203771961462,0.0042516317628056,1.4035248,1,0,0,0,NaN,NaN
integer_500_1300,2,A2_constrained_varpro,10,10.0404022147488,0.0455024928535533,1,20361431,NaN,NaN,400,1348.96388282167,0.228577936086568,0.170715843857009,74.4819414108333,0.0210689538852204,0.00475172279001815,0.4465876,0,1,0,1,0.991637940817112,1.40543260037668
integer_500_1300,2,A3_physics_template,10,10.0404022147488,0.0455024928535533,1,20361431,NaN,NaN,400.00000003214,1349.00078416005,0.226801499766969,0.168093002172473,74.5003920639539,0.0206457512027521,0.00475500830453014,0.7162695,0,1,0,1,0.991698100330019,1.3902996193041
integer_500_1300,2,B_gap_library_joint,10,10.0404022147488,0.0455024928535533,1,20361431,0.993601318636671,0.00639868136332944,499.515313209024,1299.09932108375,0.253716649055909,0.148449256831142,0.69268285361386,0.00263369611238316,0.00483372595199144,0.1743301,1,0,0,0,NaN,NaN
integer_500_1300,2,C_same_gap_direct,10,10.0404022147488,0.0455024928535533,1,20361431,1,0,499.51617119371,1298.90255165342,0.250663621956955,0.147598983780347,0.790638576433849,0.00153231908830398,0.00483917167073351,0.0824451,1,0,0,0,NaN,NaN
integer_500_1300,2,A_blind_transfer,10,9.9308116737556,0.0455024928535533,2,20361432,NaN,NaN,499.430305425341,1298.47038431016,0.234985280063596,0.129134389577052,1.04965513224883,0.0179401651796763,0.00451185751215119,0.7275242,0,0,0,0,NaN,NaN
integer_500_1300,2,A4_sensorcv_alias,10,9.9308116737556,0.0455024928535533,2,20361432,NaN,NaN,499.430305425341,1298.47038431016,0.234985280063596,0.129134389577052,1.04965513224883,0.0179401651796763,0.00451185751215119,1.2849959,0,0,0,0,NaN,NaN
integer_500_1300,2,A2_constrained_varpro,10,9.9308116737556,0.0455024928535533,2,20361432,NaN,NaN,500.200553467055,1299.2040440621,0.237521599439695,0.138060694510426,0.498254702476572,0.0122088530249393,0.00501401054719886,0.4612228,1,0,0,0,0.966336495404073,2.1053074177836
integer_500_1300,2,A3_physics_template,10,9.9308116737556,0.0455024928535533,2,20361432,NaN,NaN,400.005508391801,1100.82984348474,0.235159299319322,0.132649117109754,149.582324061729,0.0160957917854618,0.00501945656324738,0.8050607,0,1,1,1,0.944520863656854,1.80224538695072
integer_500_1300,2,B_gap_library_joint,10,9.9308116737556,0.0455024928535533,2,20361432,0.992471612555056,0.00752838744494444,500.015253606879,1299.19270535899,0.240658167592283,0.130067991958743,0.411274123946299,0.0146369202244871,0.00509198805929781,0.1254549,1,0,0,0,NaN,NaN
integer_500_1300,2,C_same_gap_direct,10,9.9308116737556,0.0455024928535533,2,20361432,1,0,499.882295832543,1298.90375325976,0.241060672510938,0.130221151208303,0.606975453849969,0.0143590881403796,0.0051007548696188,0.0877012,1,0,0,0,NaN,NaN
integer_500_1300,2,A_blind_transfer,10,9.98834970082573,0.0455024928535533,3,20361433,NaN,NaN,498.247941421767,1301.04907411277,0.268047661563531,0.146455878656987,1.4005663455024,0.0107958914532724,0.00434791967243874,0.5705661,0,0,0,0,NaN,NaN
integer_500_1300,2,A4_sensorcv_alias,10,9.98834970082573,0.0455024928535533,3,20361433,NaN,NaN,498.247941421767,1301.04907411277,0.268047661563531,0.146455878656987,1.4005663455024,0.0107958914532724,0.00434791967243874,1.3584511,0,0,0,0,NaN,NaN
integer_500_1300,2,A2_constrained_varpro,10,9.98834970082573,0.0455024928535533,3,20361433,NaN,NaN,499.280868713108,1301.16657779564,0.258722306992768,0.13468437409023,0.942854541268076,0.0120189664512691,0.00492648403063416,0.3428516,1,0,0,0,0.966105309470406,2.21939099759272
integer_500_1300,2,A3_physics_template,10,9.98834970082573,0.0455024928535533,3,20361433,NaN,NaN,499.328470200307,1301.30910600543,0.25851585995962,0.135945266383088,0.990317902562822,0.0112852967882662,0.00492493241475479,0.7750428,1,0,0,0,0.965970863974864,2.22435597869876
integer_500_1300,2,B_gap_library_joint,10,9.98834970082573,0.0455024928535533,3,20361433,0.993570609904029,0.00642939009597132,499.225760294506,1301.11551029396,0.256979409097205,0.13511485836233,0.944874999726522,0.0109322753674377,0.00498484300982886,0.1561029,1,0,0,0,NaN,NaN
integer_500_1300,2,C_same_gap_direct,10,9.98834970082573,0.0455024928535533,3,20361433,1,0,499.624051489796,1300.89794235795,0.265469108693821,0.125467469874838,0.63694543407891,0.0200008194094915,0.00499953094362537,0.0877083,1,0,0,0,NaN,NaN
integer_500_1300,4,A_blind_transfer,10,10.0361091193209,0.0498463142268181,1,20362431,NaN,NaN,499.583817907232,1299.55965092961,0.254984832848259,0.158411575416064,0.428265581579836,0.00669820413216163,0.00548890308975052,1.1913926,1,0,0,0,NaN,NaN
integer_500_1300,4,A4_sensorcv_alias,10,10.0361091193209,0.0498463142268181,1,20362431,NaN,NaN,499.583817907232,1299.55965092961,0.254984832848259,0.158411575416064,0.428265581579836,0.00669820413216163,0.00548890308975052,1.6986296,1,0,0,0,NaN,NaN
integer_500_1300,4,A2_constrained_varpro,10,10.0361091193209,0.0498463142268181,1,20362431,NaN,NaN,499.587199610737,1299.54934144658,0.274493905989256,0.149896764695929,0.43172947134201,0.0122985706466631,0.00575930636229637,0.6096938,1,0,0,0,0.966921001254856,2.13332732811735
integer_500_1300,4,A3_physics_template,10,10.0361091193209,0.0498463142268181,1,20362431,NaN,NaN,499.584866344417,1299.5078725068,0.273847415507568,0.148621397084286,0.45363057439215,0.0126130092116411,0.00576383410898224,0.9457276,1,0,0,0,0.967012465724222,2.13307879649403
integer_500_1300,4,B_gap_library_joint,10,10.0361091193209,0.0498463142268181,1,20362431,0.992443010738082,0.0075569892619175,499.562701025357,1299.63603756527,0.270405954290635,0.15625105949178,0.400630704687273,0.0133285068912075,0.00580333335489646,0.1694873,1,0,0,0,NaN,NaN
integer_500_1300,4,C_same_gap_direct,10,10.0361091193209,0.0498463142268181,1,20362431,1,0,499.575246758558,1299.60090551643,0.267025167465535,0.158918457899922,0.411923862508246,0.0129718126827286,0.00580787289524555,0.1042747,1,0,0,0,NaN,NaN
integer_500_1300,4,A_blind_transfer,10,10.0574287913091,0.0498463142268181,2,20362432,NaN,NaN,500.049695274611,1299.92803287168,0.23621926906563,0.173897214660933,0.0608312014644525,0.0188389727976518,0.00531141654801124,0.5948542,1,0,0,0,NaN,NaN
integer_500_1300,4,A4_sensorcv_alias,10,10.0574287913091,0.0498463142268181,2,20362432,NaN,NaN,500.049695274611,1299.92803287168,0.23621926906563,0.173897214660933,0.0608312014644525,0.0188389727976518,0.00531141654801124,1.5142556,1,0,0,0,NaN,NaN
integer_500_1300,4,A2_constrained_varpro,10,10.0574287913091,0.0498463142268181,2,20362432,NaN,NaN,500.053853219851,1299.875028413,0.237893499908338,0.172304098812925,0.0894124034248875,0.0172052994522935,0.0055268866785548,0.7076209,1,0,0,0,0.965978972831176,2.15875347930374
integer_500_1300,4,A3_physics_template,10,10.0574287913091,0.0498463142268181,2,20362432,NaN,NaN,500.055148500626,1299.85382900181,0.237542340352168,0.171182475670764,0.100659749410283,0.0168200676592983,0.00553684904039818,0.8693614,1,0,0,0,0.966122864551019,2.15817268762706
integer_500_1300,4,B_gap_library_joint,10,10.0574287913091,0.0498463142268181,2,20362432,0.991106999276436,0.00889300072356436,500.086305070167,1299.85905367179,0.234740060435766,0.174425409936842,0.11362569918947,0.0198426747505381,0.00559897308024444,0.1754094,1,0,0,0,NaN,NaN
