scenario,num_revs_high,method,target_snr_db,measured_snr_db,noise_ratio,repeat_id,seed,g_used_mm,gap_error_mm,f1_Hz,f2_Hz,A1_mm,A2_mm,mean_freq_error_Hz,mean_amp_error_mm,rmse,elapsed_s,is_success,f1_boundary_hit,f2_boundary_hit,freq_boundary_hit,a2_eta_dynamic,a2_cond_dynamic
noninteger_520_1270,20,A_blind_transfer,10,9.97684133677998,0.0541315611491328,1,20464431,NaN,NaN,520.004123726048,1220.23267102891,0.250694535398701,0.0903941822331803,24.885726348567,0.0301501765827603,0.00638386034736055,2.4840172,0,0,0,0,NaN,NaN
noninteger_520_1270,20,A4_low_locked_transfer,10,9.97684133677998,0.0541315611491328,1,20464431,NaN,NaN,520.006305621665,1109.8629205605,0.244888501112402,0.0159255299228994,80.0716925305849,0.0695929844823492,0.00659814539693514,0.6999908,0,0,0,0,NaN,NaN
noninteger_520_1270,20,A5_warp_only_alias,10,9.97684133677998,0.0541315611491328,1,20464431,NaN,NaN,470.306994778233,1220.27342009667,0.128161996083425,0.0549264029452596,49.7097925625465,0.108455800485658,0.00730448197344378,2.0458077,0,0,0,0,0.999955231592226,1.25123291872857
noninteger_520_1270,20,A6_frozen_high_template,10,9.97684133677998,0.0541315611491328,1,20464431,NaN,NaN,520.017874566096,1220.04253389317,0.145013557048749,0.0280612905766733,24.9876703364606,0.113462576187289,0.00679676871176085,3.3140324,0,0,0,0,NaN,NaN
noninteger_520_1270,20,A7_dominant_aligned,10,9.97684133677998,0.0541315611491328,1,20464431,NaN,NaN,520.107170931676,1270.01122633939,0.141226412752991,0.0970740085663147,0.0591986355337326,0.0808497893403469,0.00644180901817747,2.8984811,1,0,0,0,NaN,NaN
noninteger_520_1270,20,A2_constrained_varpro,10,9.97684133677998,0.0541315611491328,1,20464431,NaN,NaN,519.992951266681,1320.00891199653,0.196254233627742,0.0902384811199624,25.0079803649242,0.0567536426261476,0.00639720102955533,1.9776436,0,0,0,0,0.999893763845835,1.2749902536143
noninteger_520_1270,20,A3_physics_template,10,9.97684133677998,0.0541315611491328,1,20464431,NaN,NaN,519.993104506409,1320.00889366426,0.196209849860762,0.0902573946448029,25.0078945789272,0.0567663777472175,0.00639825628645793,2.4179312,0,0,0,0,0.999902685565131,1.2750005957401
noninteger_520_1270,20,B_gap_library_joint,10,9.97684133677998,0.0541315611491328,1,20464431,0.993538447690629,0.00646155230937095,520.004394768983,1270.05389573715,0.246678344298555,0.146033977804079,0.0291452530678953,0.00364383894868325,0.00612762115222303,0.519491,1,0,0,0,NaN,NaN
noninteger_520_1270,20,C_same_gap_direct,10,9.97684133677998,0.0541315611491328,1,20464431,1,0,519.998263359735,1270.05754305141,0.24631587500282,0.145953178206582,0.0296398458390286,0.00386547339529927,0.00612639747887886,0.2716003,1,0,0,0,NaN,NaN
noninteger_520_1270,20,A_blind_transfer,10,10.0075254308102,0.0541315611491328,2,20464432,NaN,NaN,520.026487744799,1119.7405470574,0.252514213993471,0.0710962701837878,75.1429703436977,0.0407089719048416,0.00645077476510948,3.3805381,0,0,0,0,NaN,NaN
noninteger_520_1270,20,A4_low_locked_transfer,10,10.0075254308102,0.0541315611491328,2,20464432,NaN,NaN,520.001568940964,1129.88118267756,0.244632392328985,0.028854128418273,70.0601931317015,0.0632567396263712,0.00650042323952708,0.9743897,0,0,0,0,NaN,NaN
noninteger_520_1270,20,A5_warp_only_alias,10,10.0075254308102,0.0541315611491328,2,20464432,NaN,NaN,470.531286412216,1220.44335802726,0.129530638794757,0.052557523071248,49.512677780262,0.108955919066998,0.00729103727856242,2.5295852,0,0,0,0,0.999946063491271,1.25780569163195
noninteger_520_1270,20,A6_frozen_high_template,10,10.0075254308102,0.0541315611491328,2,20464432,NaN,NaN,520.261735748449,1270.00105058266,0.103778952423335,0.0874754481210622,0.131393165555608,0.104372799727801,0.00662601921377363,4.8828248,1,0,0,0,NaN,NaN
noninteger_520_1270,20,A7_dominant_aligned,10,10.0075254308102,0.0541315611491328,2,20464432,NaN,NaN,519.928887150368,1270.13188560721,0.159369064586767,0.077979386382226,0.10149922842038,0.0813257745155036,0.00628475340415245,4.7018144,1,0,0,0,NaN,NaN
noninteger_520_1270,20,A2_constrained_varpro,10,10.0075254308102,0.0541315611491328,2,20464432,NaN,NaN,519.995170842992,1320.01419459689,0.201676263448322,0.0916841110434452,25.0095118769465,0.0533198127541164,0.00630501580369408,2.3004866,0,0,0,0,0.999936265321455,1.27614002057533
noninteger_520_1270,20,A3_physics_template,10,10.0075254308102,0.0541315611491328,2,20464432,NaN,NaN,519.995684999971,1320.01419425431,0.201737286305437,0.091673057232595,25.0092546271695,0.0532948282309838,0.00630494771240152,2.8775804,0,0,0,0,0.999941201181797,1.27613639580643
