scenario,num_revs_high,method,target_snr_db,measured_snr_db,noise_ratio,repeat_id,seed,g_used_mm,gap_error_mm,f1_Hz,f2_Hz,A1_mm,A2_mm,mean_freq_error_Hz,mean_amp_error_mm,rmse,elapsed_s,is_success,f1_boundary_hit,f2_boundary_hit,freq_boundary_hit,a2_eta_dynamic,a2_cond_dynamic
integer_500_1300,2,A_blind_transfer,10,10.0404022147488,0.0455024928535533,1,20361431,NaN,NaN,499.36161506126,1301.14329650755,0.257453358054201,0.127812603661908,0.890840723146425,0.0148203771961462,0.0042516317628056,0.3892737,1,0,0,0,NaN,NaN
integer_500_1300,2,A7_dominant_aligned,10,10.0404022147488,0.0455024928535533,1,20361431,NaN,NaN,400.659985926803,1100.01924459989,0.0145593201893677,0.00169612894018117,149.660384736654,0.191872275435226,0.00553882610197011,0.5749818,0,1,1,1,NaN,NaN
integer_500_1300,2,A8_async_hybrid,10,10.0404022147488,0.0455024928535533,1,20361431,NaN,NaN,499.36161506126,1301.14329650755,0.257453358054201,0.127812603661908,0.890840723146425,0.0148203771961462,0.0042516317628056,0.3897326,1,0,0,0,NaN,NaN
integer_500_1300,2,B_gap_library_joint,10,10.0404022147488,0.0455024928535533,1,20361431,0.993601318636671,0.00639868136332944,499.515313209024,1299.09932108375,0.253716649055909,0.148449256831142,0.69268285361386,0.00263369611238316,0.00483372595199144,0.1327151,1,0,0,0,NaN,NaN
integer_500_1300,2,C_same_gap_direct,10,10.0404022147488,0.0455024928535533,1,20361431,1,0,499.51617119371,1298.90255165342,0.250663621956955,0.147598983780347,0.790638576433849,0.00153231908830398,0.00483917167073351,0.0667746,1,0,0,0,NaN,NaN
integer_500_1300,2,A_blind_transfer,10,9.9308116737556,0.0455024928535533,2,20361432,NaN,NaN,499.430305425341,1298.47038431016,0.234985280063596,0.129134389577052,1.04965513224883,0.0179401651796763,0.00451185751215119,0.6423131,0,0,0,0,NaN,NaN
integer_500_1300,2,A7_dominant_aligned,10,9.9308116737556,0.0455024928535533,2,20361432,NaN,NaN,400.289703082651,1350.59426329373,0.0164618185512795,0.0047670064789014,75.1522801055403,0.18938558748491,0.00560563763520206,0.4713128,0,1,0,1,NaN,NaN
integer_500_1300,2,A8_async_hybrid,10,9.9308116737556,0.0455024928535533,2,20361432,NaN,NaN,499.430305425341,1298.47038431016,0.234985280063596,0.129134389577052,1.04965513224883,0.0179401651796763,0.00451185751215119,0.6424793,0,0,0,0,NaN,NaN
integer_500_1300,2,B_gap_library_joint,10,9.9308116737556,0.0455024928535533,2,20361432,0.992471612555056,0.00752838744494444,500.015253606879,1299.19270535899,0.240658167592283,0.130067991958743,0.411274123946299,0.0146369202244871,0.00509198805929781,0.1056155,1,0,0,0,NaN,NaN
integer_500_1300,2,C_same_gap_direct,10,9.9308116737556,0.0455024928535533,2,20361432,1,0,499.882295832543,1298.90375325976,0.241060672510938,0.130221151208303,0.606975453849969,0.0143590881403796,0.0051007548696188,0.0660584,1,0,0,0,NaN,NaN
integer_500_1300,2,A_blind_transfer,10,9.98834970082573,0.0455024928535533,3,20361433,NaN,NaN,498.247941421767,1301.04907411277,0.268047661563531,0.146455878656987,1.4005663455024,0.0107958914532724,0.00434791967243874,0.4949866,0,0,0,0,NaN,NaN
integer_500_1300,2,A7_dominant_aligned,10,9.98834970082573,0.0455024928535533,3,20361433,NaN,NaN,400.001646878256,1346.74550580556,0.0170592351315578,0.00333129165868761,73.3719294636521,0.189804736604877,0.00566918536413077,0.5699957,0,1,0,1,NaN,NaN
integer_500_1300,2,A8_async_hybrid,10,9.98834970082573,0.0455024928535533,3,20361433,NaN,NaN,498.247941421767,1301.04907411277,0.268047661563531,0.146455878656987,1.4005663455024,0.0107958914532724,0.00434791967243874,0.4951883,0,0,0,0,NaN,NaN
integer_500_1300,2,B_gap_library_joint,10,9.98834970082573,0.0455024928535533,3,20361433,0.993570609904029,0.00642939009597132,499.225760294506,1301.11551029396,0.256979409097205,0.13511485836233,0.944874999726522,0.0109322753674377,0.00498484300982886,0.1266932,1,0,0,0,NaN,NaN
integer_500_1300,2,C_same_gap_direct,10,9.98834970082573,0.0455024928535533,3,20361433,1,0,499.624051489796,1300.89794235795,0.265469108693821,0.125467469874838,0.63694543407891,0.0200008194094915,0.00499953094362537,0.1152132,1,0,0,0,NaN,NaN
integer_500_1300,4,A_blind_transfer,10,10.0361091193209,0.0498463142268181,1,20362431,NaN,NaN,499.583817907232,1299.55965092961,0.254984832848259,0.158411575416064,0.428265581579836,0.00669820413216163,0.00548890308975052,1.0429524,1,0,0,0,NaN,NaN
integer_500_1300,4,A7_dominant_aligned,10,10.0361091193209,0.0498463142268181,1,20362431,NaN,NaN,400.781841803029,1100.18717754855,0.0163945943297791,0.00378399991764861,149.515490324211,0.189910702876286,0.00681561450538459,0.7810481,0,1,1,1,NaN,NaN
integer_500_1300,4,A8_async_hybrid,10,10.0361091193209,0.0498463142268181,1,20362431,NaN,NaN,499.583817907232,1299.55965092961,0.254984832848259,0.158411575416064,0.428265581579836,0.00669820413216163,0.00548890308975052,1.0431145,1,0,0,0,NaN,NaN
integer_500_1300,4,B_gap_library_joint,10,10.0361091193209,0.0498463142268181,1,20362431,0.992443010738082,0.0075569892619175,499.562701025357,1299.63603756527,0.270405954290635,0.15625105949178,0.400630704687273,0.0133285068912075,0.00580333335489646,0.1569747,1,0,0,0,NaN,NaN
integer_500_1300,4,C_same_gap_direct,10,10.0361091193209,0.0498463142268181,1,20362431,1,0,499.575246758558,1299.60090551643,0.267025167465535,0.158918457899922,0.411923862508246,0.0129718126827286,0.00580787289524555,0.1222717,1,0,0,0,NaN,NaN
integer_500_1300,4,A_blind_transfer,10,10.0574287913091,0.0498463142268181,2,20362432,NaN,NaN,500.049695274611,1299.92803287168,0.23621926906563,0.173897214660933,0.0608312014644525,0.0188389727976518,0.00531141654801124,0.5473031,1,0,0,0,NaN,NaN
integer_500_1300,4,A7_dominant_aligned,10,10.0574287913091,0.0498463142268181,2,20362432,NaN,NaN,400.951943924234,1102.76762023976,0.0146094733855657,0.00327022821620744,148.140217918004,0.191060149199113,0.00649986741252077,0.9933923,0,1,1,1,NaN,NaN
integer_500_1300,4,A8_async_hybrid,10,10.0574287913091,0.0498463142268181,2,20362432,NaN,NaN,500.049695274611,1299.92803287168,0.23621926906563,0.173897214660933,0.0608312014644525,0.0188389727976518,0.00531141654801124,0.5482739,1,0,0,0,NaN,NaN
integer_500_1300,4,B_gap_library_joint,10,10.0574287913091,0.0498463142268181,2,20362432,0.991106999276436,0.00889300072356436,500.086305070167,1299.85905367179,0.234740060435766,0.174425409936842,0.11362569918947,0.0198426747505381,0.00559897308024444,0.1595188,1,0,0,0,NaN,NaN
integer_500_1300,4,C_same_gap_direct,10,10.0574287913091,0.0498463142268181,2,20362432,1,0,500.063914785683,1299.84146380325,0.237518860569401,0.170979492717272,0.111225491218107,0.0167303160739358,0.00558668025858392,0.0825259,1,0,0,0,NaN,NaN
integer_500_1300,4,A_blind_transfer,10,10.0202691853542,0.0498463142268181,3,20362433,NaN,NaN,500.608526303627,1299.97075206941,0.223529632890616,0.133082420177383,0.318887117107437,0.0216939734660006,0.00534447769399564,0.9329735,1,0,0,0,NaN,NaN
integer_500_1300,4,A7_dominant_aligned,10,10.0202691853542,0.0498463142268181,3,20362433,NaN,NaN,401.306437994417,1102.27580543009,0.0147921703122248,0.0026422053837743,148.208878287745,0.191282812152,0.00656483006170031,0.8306071,0,1,1,1,NaN,NaN
integer_500_1300,4,A8_async_hybrid,10,10.0202691853542,0.0498463142268181,3,20362433,NaN,NaN,500.608526303627,1299.97075206941,0.223529632890616,0.133082420177383,0.318887117107437,0.0216939734660006,0.00534447769399564,0.9330274,1,0,0,0,NaN,NaN
integer_500_1300,4,B_gap_library_joint,10,10.0202691853542,0.0498463142268181,3,20362433,0.995243571372559,0.00475642862744075,500.445659918424,1299.85903410583,0.249785290031093,0.145287046474497,0.293312906295142,0.00246383174720501,0.00559919425150582,0.1406036,1,0,0,0,NaN,NaN
integer_500_1300,4,C_same_gap_direct,10,10.0202691853542,0.0498463142268181,3,20362433,1,0,500.48606694852,1299.84340478537,0.246189962034425,0.148152729706307,0.321331081574669,0.00282865412963432,0.0056055511794029,0.0866797,1,0,0,0,NaN,NaN
integer_500_1300,8,A_blind_transfer,10,10.0278936055263,0.0525432124279254,1,20363431,NaN,NaN,500.474780624328,1299.93550550023,0.254403595028225,0.142642359501322,0.269637562050633,0.00588061776345135,0.00568037693960954,1.4677611,1,0,0,0,NaN,NaN
integer_500_1300,8,A7_dominant_aligned,10,10.0278936055263,0.0525432124279254,1,20363431,NaN,NaN,400.194903982674,1100.4978754732,0.0141804837784589,0.0039383443635838,149.653610272061,0.190940585928979,0.00686561280027816,1.0701958,0,1,1,1,NaN,NaN
integer_500_1300,8,A8_async_hybrid,10,10.0278936055263,0.0525432124279254,1,20363431,NaN,NaN,500.474780624328,1299.93550550023,0.254403595028225,0.142642359501322,0.269637562050633,0.00588061776345135,0.00568037693960954,1.4677786,1,0,0,0,NaN,NaN
integer_500_1300,8,B_gap_library_joint,10,10.0278936055263,0.0525432124279254,1,20363431,0.991907266655922,0.00809273334407812,500.197058021162,1299.91521745371,0.255187479862015,0.151674542666432,0.140920283726615,0.00343101126422345,0.0058728929554379,0.2880381,1,0,0,0,NaN,NaN
integer_500_1300,8,C_same_gap_direct,10,10.0278936055263,0.0525432124279254,1,20363431,1,0,500.180314726648,1299.95568965064,0.255999062981227,0.151038398167596,0.11231253800338,0.00351873057441129,0.00586689495341836,0.1408818,1,0,0,0,NaN,NaN
integer_500_1300,8,A_blind_transfer,10,9.96758457344886,0.0525432124279254,2,20363432,NaN,NaN,499.635903295804,1299.82620924949,0.242646530773541,0.163704275232839,0.2689437273539,0.0105288722296489,0.00564985999760636,1.7512879,1,0,0,0,NaN,NaN
integer_500_1300,8,A7_dominant_aligned,10,9.96758457344886,0.0525432124279254,2,20363432,NaN,NaN,400.407896439793,1100.78414969085,0.0152385522179574,0.00299046384868079,149.403976934681,0.190885491966681,0.0067922791932619,0.9680613,0,1,1,1,NaN,NaN
integer_500_1300,8,A8_async_hybrid,10,9.96758457344886,0.0525432124279254,2,20363432,NaN,NaN,499.635903295804,1299.82620924949,0.242646530773541,0.163704275232839,0.2689437273539,0.0105288722296489,0.00564985999760636,1.7513094,1,0,0,0,NaN,NaN
integer_500_1300,8,B_gap_library_joint,10,9.96758457344886,0.0525432124279254,2,20363432,0.994867947377477,0.00513205262252314,499.932835062091,1299.93113639915,0.241492637079921,0.162143443517208,0.0680142693780112,0.0103254032186437,0.00577982603044703,0.2440032,1,0,0,0,NaN,NaN
integer_500_1300,8,C_same_gap_direct,10,9.96758457344886,0.0525432124279254,2,20363432,1,0,499.920960194559,1299.90902806103,0.242437995382089,0.162254780719332,0.0850058722042206,0.00990839266862141,0.00577955305297099,0.1095614,1,0,0,0,NaN,NaN
integer_500_1300,8,A_blind_transfer,10,10.0188686281431,0.0525432124279254,3,20363433,NaN,NaN,500.359363233645,1299.68669893833,0.231842436119169,0.155681264730406,0.336332147657288,0.0119194143056184,0.00581977119235827,1.3362564,1,0,0,0,NaN,NaN
