scenario,num_revs_high,method,target_snr_db,freq_error_mean_Hz,freq_error_median_Hz,freq_error_p90_Hz,freq_error_std_Hz,amp_error_mean_mm,rmse_mean,elapsed_mean_s,gap_error_mean_mm,success_rate,boundary_hit_rate,num_trials
integer_500_1300,2,A_blind_transfer,10,1.11368740029922,1.04965513224883,1.33038410285168,0.260825901772242,0.014518811276365,0.00437046964913184,0.634399733333333,NaN,0.333333333333333,0,3
integer_500_1300,2,A4_sensorcv_alias,10,1.11368740029922,1.04965513224883,1.33038410285168,0.260825901772242,0.014518811276365,0.00437046964913184,1.3489906,NaN,0.333333333333333,0,3
integer_500_1300,2,A2_constrained_varpro,10,25.307683551526,0.942854541268076,59.7741240369203,42.58673671772,0.0150989244538096,0.00489740578928373,0.416887333333333,NaN,0.666666666666667,0.333333333333333,3
integer_500_1300,2,A3_physics_template,10,75.0243446760819,74.5003920639539,134.565937662174,74.2973887048276,0.01600894659216,0.00489979909417744,0.765457666666667,NaN,0.333333333333333,0.666666666666667,3
integer_500_1300,2,B_gap_library_joint,10,0.682943992428894,0.69268285361386,0.89443657050399,0.266933714096291,0.00940096390143598,0.00497018567370604,0.151962633333333,0.00678548630141507,1,0,3
integer_500_1300,2,C_same_gap_direct,10,0.67818648812091,0.63694543407891,0.759899947962862,0.0985325025216891,0.0119640755460584,0.0049798191613259,0.0859515333333333,0,1,0,3
integer_500_1300,4,A_blind_transfer,10,0.269327966717242,0.318887117107437,0.406389888685356,0.188663955124562,0.0157437167986047,0.0053815991105858,0.9407834,NaN,1,0,3
integer_500_1300,4,A4_sensorcv_alias,10,0.269327966717242,0.318887117107437,0.406389888685356,0.188663955124562,0.0157437167986047,0.0053815991105858,1.68002013333333,NaN,1,0,3
integer_500_1300,4,A2_constrained_varpro,10,0.262666027329156,0.26685620722057,0.398754818517722,0.171196997498454,0.0109712520743774,0.0056176850574207,0.633400366666667,NaN,1,0,3
integer_500_1300,4,A3_physics_template,10,0.279762637198994,0.28499758779455,0.41990397707263,0.176543633000169,0.0112246673119129,0.00562601730247426,1.04553186666667,NaN,1,0,3
integer_500_1300,4,B_gap_library_joint,10,0.269189770057295,0.293312906295142,0.379167145008847,0.145015214966089,0.0118783377963169,0.00566716689554891,0.173004733333333,0.00706880620430754,1,0,3
integer_500_1300,4,C_same_gap_direct,10,0.281493478433674,0.321331081574669,0.393805306321531,0.154256778107641,0.0108435942954329,0.00566670144441079,0.115478533333333,0,1,0,3
integer_500_1300,8,A_blind_transfer,10,0.29163781235394,0.269637562050633,0.322993230535957,0.0387079844192725,0.0094429680995729,0.00571666937652473,1.8312442,NaN,1,0,3
integer_500_1300,8,A4_sensorcv_alias,10,0.29163781235394,0.269637562050633,0.322993230535957,0.0387079844192725,0.0094429680995729,0.00571666937652473,2.59969123333333,NaN,1,0,3
integer_500_1300,8,A2_constrained_varpro,10,0.106064106280191,0.121211208296273,0.12455114466805,0.0299240354549314,0.00610355069819601,0.00585179673630987,0.818073266666667,NaN,1,0,3
integer_500_1300,8,A3_physics_template,10,0.109049609179105,0.117668973983086,0.131661364541083,0.0313220085783288,0.00630032563448893,0.00585260256676726,1.3239794,NaN,1,0,3
integer_500_1300,8,B_gap_library_joint,10,0.105249952927532,0.106815305677969,0.134099288116886,0.0364782055339168,0.00589454282809806,0.00588691735404102,0.314280133333333,0.00709963619418282,1,0,3
integer_500_1300,8,C_same_gap_direct,10,0.104113391987208,0.11231253800338,0.114479920203894,0.0166029504288889,0.0054418929783512,0.0058819827240811,0.1497753,0,1,0,3
integer_500_1300,20,A_blind_transfer,10,0.0962921194942415,0.111752285020032,0.123892207114739,0.0406343123811119,0.0100257742540271,0.00600221407202038,4.20495056666667,NaN,1,0,3
