method,target_snr_db,measured_snr_db,noise_ratio,repeat_id,seed,g_used_mm,gap_error_mm,f1_Hz,f2_Hz,A1_mm,A2_mm,mean_freq_error_Hz,mean_amp_error_mm,rmse,elapsed_s,is_success,f1_boundary_hit,f2_boundary_hit,freq_boundary_hit
A_blind_transfer,20,19.9505840845708,0.016615622685431,1,20261431,NaN,NaN,499.979438278564,1300.06635733445,0.245287282140339,0.153486509815104,0.0434595279449184,0.00409961383738236,0.00180259032203123,3.444259,1,0,0,0
B_gap_library_joint,20,19.9505840845708,0.016615622685431,1,20261431,0.993907565180122,0.00609243481987787,499.986369354261,1300.0199544403,0.245626568799637,0.154621187196615,0.0167925430206139,0.00449730919848898,0.00185855968728812,0.416783,1,0,0,0
C_same_gap_direct,20,19.9505840845708,0.016615622685431,1,20261431,1,0,499.987003081234,1300.01741951837,0.245851242904297,0.154197299477057,0.0152082185655047,0.0041730282863804,0.00185531123859784,0.1480377,1,0,0,0
A_blind_transfer,20,20.0025743399896,0.016615622685431,2,20261432,NaN,NaN,499.916347904085,1300.01140963403,0.248626751834449,0.154276247595138,0.047530864973055,0.00282474788034463,0.00181086812717031,1.8470308,1,0,0,0
B_gap_library_joint,20,20.0025743399896,0.016615622685431,2,20261432,0.992941652341477,0.00705834765852309,499.950176580709,1300.0254217928,0.249768343465968,0.155428586357087,0.0376226060430156,0.00283012144555976,0.00183509740924324,0.3027822,1,0,0,0
C_same_gap_direct,20,20.0025743399896,0.016615622685431,2,20261432,1,0,499.948746620384,1300.01867684957,0.250807673651392,0.153975489775733,0.0349651145951384,0.00239158171356255,0.00182982227464074,0.1408862,1,0,0,0
A_blind_transfer,20,20.0083827845062,0.016615622685431,3,20261433,NaN,NaN,500.008001742739,1300.04671245566,0.252118919452168,0.145012003777201,0.0273570992004011,0.00355345783748377,0.001812245585352,1.8019522,1,0,0,0
B_gap_library_joint,20,20.0083827845062,0.016615622685431,3,20261433,0.992584213629786,0.00741578637021356,500.016414899006,1300.00516598656,0.250966059755197,0.149422128985931,0.0107904427831329,0.000771965384633214,0.00185228373171256,0.3393862,1,0,0,0
C_same_gap_direct,20,20.0083827845062,0.016615622685431,3,20261433,1,0,500.013746574019,1300.01064977329,0.25032679776081,0.149552686968589,0.0121981736561736,0.000387055396110308,0.00185053239052736,0.1463022,1,0,0,0
A_blind_transfer,20,20.0059717701325,0.016615622685431,4,20261434,NaN,NaN,499.956415277244,1299.94229243685,0.254255078246247,0.147509808067477,0.050646142954264,0.00337263508938468,0.00182319926056395,2.0905697,1,0,0,0
B_gap_library_joint,20,20.0059717701325,0.016615622685431,4,20261434,0.992893940391981,0.0071060596080188,500.007805546093,1299.98491596947,0.253660104091877,0.150448516789726,0.0114447883132129,0.00205431044080129,0.00186966310965558,0.3293122,1,0,0,0
C_same_gap_direct,20,20.0059717701325,0.016615622685431,4,20261434,1,0,500.00273583052,1299.99076217346,0.252708076273678,0.150896745415716,0.00598682852796628,0.00180241084469694,0.00186342685159164,0.1422837,1,0,0,0
A_blind_transfer,20,20.0578536997877,0.016615622685431,5,20261435,NaN,NaN,500.093307654931,1300.05319543338,0.249051395140318,0.149733418273095,0.0732515441552266,0.000607593293293615,0.0018549100453603,1.7963015,1,0,0,0
B_gap_library_joint,20,20.0578536997877,0.016615622685431,5,20261435,0.99351546415483,0.00648453584516973,500.04746629956,1300.0756548113,0.249029448999063,0.147895893940602,0.0615605554278034,0.00153732853016705,0.00188511710004048,0.3240296,1,0,0,0
C_same_gap_direct,20,20.0578536997877,0.016615622685431,5,20261435,1,0,500.044362297518,1300.07357380659,0.248424294491078,0.148326763417129,0.0589680520523075,0.00162447104589654,0.00187942701393261,0.14178,1,0,0,0
A_blind_transfer,15,15.011900554456,0.0295472197064776,1,20262431,NaN,NaN,500.015377210852,1299.97488974876,0.246742797807103,0.143679708813049,0.0202437310479411,0.00478874668992404,0.00321877210796567,2.5805562,1,0,0,0
B_gap_library_joint,15,15.011900554456,0.0295472197064776,1,20262431,0.992655295153986,0.00734470484601413,500.016882456403,1299.99887680444,0.244202707724233,0.156438040169558,0.00900282598044555,0.00611766622266244,0.00330964935668407,0.3253598,1,0,0,0
C_same_gap_direct,15,15.011900554456,0.0295472197064776,1,20262431,1,0,500.002966763199,1299.99843494173,0.242711867916863,0.155884830475229,0.00226591073544569,0.00658648127918267,0.00330478535959198,0.1552221,1,0,0,0
A_blind_transfer,15,14.9911751308919,0.0295472197064776,2,20262432,NaN,NaN,499.732807216543,1299.94876167799,0.250477724962847,0.14230718678369,0.159215552733343,0.00408526908957847,0.00322237929120375,1.9174592,1,0,0,0
B_gap_library_joint,15,14.9911751308919,0.0295472197064776,2,20262432,0.993113196700331,0.00688680329966895,499.960262103885,1299.93622315697,0.250946302707219,0.154881917442781,0.0517573695722717,0.00291411007499991,0.0033233618084949,0.3129566,1,0,0,0
C_same_gap_direct,15,14.9911751308919,0.0295472197064776,2,20262432,1,0,499.949636783202,1299.94471954786,0.250460165579772,0.154254294194339,0.0528218344690572,0.00235722988705543,0.0033187439808474,0.14444,1,0,0,0
A_blind_transfer,15,14.9890512164521,0.0295472197064776,3,20262433,NaN,NaN,500.192424270913,1300.24924003947,0.246226310396027,0.143296400742801,0.220832155190664,0.00523864443058622,0.00325535238380063,1.6024139,1,0,0,0
B_gap_library_joint,15,14.9890512164521,0.0295472197064776,3,20262433,0.99295680585383,0.00704319414617005,500.055257338284,1299.9425344034,0.246780439299774,0.148293163366873,0.0563614674443045,0.00246319866667635,0.00331661067851546,0.3308432,1,0,0,0
C_same_gap_direct,15,14.9890512164521,0.0295472197064776,3,20262433,1,0,500.05793735704,1299.96243479806,0.248025444636684,0.147262701645963,0.0477512794917345,0.00235592685867657,0.00330862322655098,0.1920928,1,0,0,0
A_blind_transfer,15,14.9925499358981,0.0295472197064776,4,20262434,NaN,NaN,500.139254493253,1300.13665429295,0.244850801878078,0.144956577281913,0.137954393102177,0.0050963104200043,0.00341001479018791,1.8245467,1,0,0,0
B_gap_library_joint,15,14.9925499358981,0.0295472197064776,4,20262434,0.993575883239006,0.00642411676099375,500.076328687633,1300.03890669452,0.248416888975657,0.151190928012099,0.0576176910786046,0.00138701951822108,0.00345545965196318,0.3807224,1,0,0,0
C_same_gap_direct,15,14.9925499358981,0.0295472197064776,4,20262434,1,0,500.078663857033,1300.04133770303,0.248118988181223,0.151099240279813,0.0600007800334197,0.00149012604929515,0.00344708683897936,0.1689556,1,0,0,0
A_blind_transfer,15,15.0170066474137,0.0295472197064776,5,20262435,NaN,NaN,500.085887688815,1300.21840136922,0.24758014354825,0.142350520834826,0.15214452901489,0.00503466780846208,0.00330529967265656,1.8718181,1,0,0,0
B_gap_library_joint,15,15.0170066474137,0.0295472197064776,5,20262435,0.99354607431131,0.00645392568868985,500.009768491718,1300.05154371219,0.247396852360598,0.152304894479367,0.0306561019523031,0.00245402105938435,0.00336184913970941,0.3291095,1,0,0,0
C_same_gap_direct,15,15.0170066474137,0.0295472197064776,5,20262435,1,0,500.013764836446,1300.0300553594,0.249796186814199,0.149093536669867,0.021910097923211,0.000555138257966811,0.00335857615497575,0.1211556,1,0,0,0
A_blind_transfer,10,10.0285079842864,0.0525432124279254,1,20263431,NaN,NaN,500.040245638205,1299.66907811392,0.242313535462963,0.167889924131516,0.185583762141221,0.0127881943342767,0.00564685401708497,2.2528514,1,0,0,0
B_gap_library_joint,10,10.0285079842864,0.0525432124279254,1,20263431,0.994259625999046,0.00574037400095351,500.101021796962,1299.77460771816,0.240715366438255,0.161893789960245,0.163207039399367,0.0105892117609948,0.00572666262063157,0.306846,1,0,0,0
C_same_gap_direct,10,10.0285079842864,0.0525432124279254,1,20263431,1,0,500.101719385947,1299.77238512172,0.242377305259258,0.159340262570786,0.164667132113578,0.00848147865576387,0.00572141045265792,0.1808645,1,0,0,0
A_blind_transfer,10,9.96529908871615,0.0525432124279254,2,20263432,NaN,NaN,500.156454218847,1299.69720016863,0.241797982465207,0.135296419093266,0.229627025109153,0.0114527992207633,0.00590438078568313,2.276539,1,0,0,0
B_gap_library_joint,10,9.96529908871615,0.0525432124279254,2,20263432,0.99453858247595,0.00546141752404972,500.107671310562,1300.01382493503,0.258694719648343,0.147933718665566,0.0607481227966389,0.0053805004913887,0.00597974808652396,0.2978293,1,0,0,0
C_same_gap_direct,10,9.96529908871615,0.0525432124279254,2,20263432,1,0,500.120941402936,1300.02445065993,0.262337955330465,0.143505896914274,0.0726960314352425,0.00941602920809563,0.00598049316222777,0.1403964,1,0,0,0
A_blind_transfer,10,9.9349890872554,0.0525432124279254,3,20263433,NaN,NaN,500.209683325554,1299.75361314412,0.249255712581225,0.155979147430879,0.228035090717185,0.00336171742482677,0.00562885299475895,2.7191839,1,0,0,0
B_gap_library_joint,10,9.9349890872554,0.0525432124279254,3,20263433,0.993415321731284,0.00658467826871623,500.125255323382,1300.0497890257,0.251443312126716,0.140517215265819,0.0875221745435795,0.00546304843044869,0.0057644481376771,0.2988368,1,0,0,0
C_same_gap_direct,10,9.9349890872554,0.0525432124279254,3,20263433,1,0,500.117434631961,1300.03109581014,0.252739149179949,0.140655447299277,0.0742652210510073,0.00604185094033609,0.00576107069709046,0.1612885,1,0,0,0
A_blind_transfer,10,9.9447418747223,0.0525432124279254,4,20263434,NaN,NaN,499.600294263465,1300.31723750852,0.254323294953884,0.173183494871287,0.358471622528839,0.0137533949125856,0.00565372177515802,2.9620646,1,0,0,0
B_gap_library_joint,10,9.9447418747223,0.0525432124279254,4,20263434,0.993271344531682,0.00672865546831802,499.933525662987,1300.21709683342,0.23544976779311,0.165377964146426,0.141785585214734,0.0149640981766577,0.00582360854628555,0.328872,1,0,0,0
