scenario,num_revs_high,method,target_snr_db,freq_error_mean_Hz,freq_error_median_Hz,freq_error_p90_Hz,freq_error_std_Hz,amp_error_mean_mm,rmse_mean,elapsed_mean_s,gap_error_mean_mm,success_rate,boundary_hit_rate,num_trials
integer_500_1300,2,A_blind_transfer,10,1.11368740029922,1.04965513224883,1.33038410285168,0.260825901772242,0.014518811276365,0.00437046964913184,0.703195233333333,NaN,0.333333333333333,0,3
integer_500_1300,2,A4_low_locked_transfer,10,0.587148000090176,0.516407884897262,0.693943972042257,0.131015511418742,0.0132245991288599,0.00454440222978993,0.314740066666667,NaN,1,0,3
integer_500_1300,2,A5_warp_only_alias,10,50.5415632992692,0.933419002183768,120.151752493192,86.0957757519769,0.0110564388153525,0.0049453710404506,0.661109133333333,NaN,0.666666666666667,0.333333333333333,3
integer_500_1300,2,A2_constrained_varpro,10,25.307683551526,0.942854541268076,59.7741240369203,42.58673671772,0.0150989244538096,0.00489740578928373,0.444495733333333,NaN,0.666666666666667,0.333333333333333,3
integer_500_1300,2,A3_physics_template,10,75.0243446760819,74.5003920639539,134.565937662174,74.2973887048276,0.01600894659216,0.00489979909417744,0.764355633333333,NaN,0.333333333333333,0.666666666666667,3
integer_500_1300,2,B_gap_library_joint,10,0.682943992428894,0.69268285361386,0.89443657050399,0.266933714096291,0.00940096390143598,0.00497018567370604,0.1842733,0.00678548630141507,1,0,3
integer_500_1300,2,C_same_gap_direct,10,0.67818648812091,0.63694543407891,0.759899947962862,0.0985325025216891,0.0119640755460584,0.0049798191613259,0.0899298,0,1,0,3
integer_500_1300,4,A_blind_transfer,10,0.269327966717242,0.318887117107437,0.406389888685356,0.188663955124562,0.0157437167986047,0.0053815991105858,0.938097766666667,NaN,1,0,3
integer_500_1300,4,A4_low_locked_transfer,10,0.281850522728168,0.281341556295416,0.38991958981124,0.134959812036371,0.0104845242318712,0.00543667143410931,0.411477666666667,NaN,1,0,3
integer_500_1300,4,A5_warp_only_alias,10,0.281181357943713,0.289911338376697,0.398920348578378,0.149547463618332,0.0118028376655358,0.0056506678508653,0.787966366666667,NaN,1,0,3
integer_500_1300,4,A2_constrained_varpro,10,0.262666027329156,0.26685620722057,0.398754818517722,0.171196997498454,0.0109712520743774,0.0056176850574207,0.5985644,NaN,1,0,3
integer_500_1300,4,A3_physics_template,10,0.279762637198994,0.28499758779455,0.41990397707263,0.176543633000169,0.0112246673119129,0.00562601730247426,1.0637649,NaN,1,0,3
integer_500_1300,4,B_gap_library_joint,10,0.269189770057295,0.293312906295142,0.379167145008847,0.145015214966089,0.0118783377963169,0.00566716689554891,0.167076833333333,0.00706880620430754,1,0,3
integer_500_1300,4,C_same_gap_direct,10,0.281493478433674,0.321331081574669,0.393805306321531,0.154256778107641,0.0108435942954329,0.00566670144441079,0.106158066666667,0,1,0,3
