% Model:              blade_不同形状_凹槽4mm_间隙2mm.mph
% Version:            COMSOL 6.3.0.290
% Date:               Dec 21 2025, 08:43
% Dimension:          1
% Nodes:              41
% Expressions:        1
% Description:        全局
% theta*67 (rad)          Value
-6.7                      0.13146115941957587
-6.365                    0.13641584451516267
-6.030000000000001        0.14158279594862264
-5.695                    0.14697866348243369
-5.36                     0.15219593973907908
-5.025                    0.15722912407176104
-4.69                     0.1618159373510211
-4.355                    0.16604681155161827
-4.0200000000000005       0.1696061719111885
-3.6850000000000005       0.17240977807601546
-3.35                     0.17471768556863623
-3.0150000000000006       0.17604203878943112
-2.6800000000000006       0.17675576879926352
-2.345                    0.17690584164806958
-2.01                     0.17658011253929976
-1.6750000000000005       0.17595994604794302
-1.3400000000000003       0.17497663204187142
-1.005                    0.17413297644077905
-0.6700000000000006       0.17347525176317438
-0.3350000000000003       0.17293858084115227
0                         0.17258818069322768
0.33499999999999935       0.17282569163841302
0.6699999999999997        0.17337061029613698
1.005                     0.1742904266813023
1.3399999999999994        0.1750319966280179
1.6749999999999996        0.1759242150423472
2.01                      0.1766238136543901
2.345                     0.17694206249753563
2.6800000000000006        0.17683677787448474
3.014999999999999         0.17608250951187684
3.349999999999999         0.17468525362896092
3.6849999999999996        0.1725198285818654
4.02                      0.16962409410832932
4.355                     0.16602901205983162
4.69                      0.16189605963733852
5.025                     0.15722661826965614
5.359999999999999         0.15208322327103577
5.694999999999999         0.14686943260004331
6.029999999999999         0.14159010401305122
6.365                     0.13640810644352364
6.7                       0.13145247719925604
