% Model:              wave_0.5_直叶片2mm_倾斜0deg-不同间隙对比.mph
% 0.2mm,0.4mm,...,1.4mm
% Version:            COMSOL 6.3.0.290
% Date:               Mar 30 2026, 09:33
% Dimension:          1
% Nodes:              1127
% Expressions:        1
% Description:        全局
% theta*67 (rad)          Value
-5.36                     0.11597710037167169
-5.293                    0.11682056817688125
-5.226                    0.11759955229240177
-5.159                    0.11861785072348481
-5.092                    0.11955866847171477
-5.0249999999999995       0.12035433819851875
-4.958                    0.1214493716143217
-4.891                    0.12252733636926305
-4.824000000000001        0.12375781423002209
-4.757000000000001        0.12492598616117731
-4.69                     0.12628668668735504
-4.623                    0.1276928403984336
-4.556                    0.12927680042857204
-4.489                    0.13097189425789535
-4.422000000000001        0.1326476108091682
-4.355                    0.13460422365643696
-4.288                    0.1368464341438016
-4.221                    0.13933105400286508
-4.154                    0.14193650511590067
-4.087                    0.14494513689071536
-4.02                     0.14818659864555195
-3.953                    0.15207072202925886
-3.886                    0.1559115752780377
-3.819                    0.1605703037131383
-3.7520000000000002       0.16581273794506282
-3.685                    0.1715717288981709
-3.618                    0.17760514427008747
-3.551                    0.18537099183040787
-3.4840000000000004       0.1921584657420891
-3.4170000000000003       0.20062900405904086
-3.35                     0.20927063971402074
-3.283                    0.21859127367798425
-3.216                    0.2272806147833929
-3.149                    0.2375397716166364
-3.082                    0.2487089266130201
-3.0149999999999997       0.25911721321321773
-2.948                    0.26968161663401774
-2.8810000000000002       0.2813378226450555
-2.814                    0.29382251604266585
-2.7470000000000003       0.3061032334475673
-2.68                     0.3187732065152981
-2.613                    0.33053020875328926
-2.546                    0.343342084606945
-2.479                    0.3563207763253984
-2.4120000000000004       0.368967055645702
-2.345                    0.38139272287577886
-2.278                    0.39544104774910666
-2.2110000000000003       0.40639656504949895
-2.144                    0.41821994181239946
-2.077                    0.43015712177760024
-2.01                     0.4418274692415887
-1.9429999999999998       0.45175371528847996
-1.876                    0.4618949348353778
-1.8090000000000002       0.4730851689215404
-1.7420000000000002       0.4826453888039087
-1.675                    0.4910930339862722
-1.608                    0.5008886889173232
-1.541                    0.5087147758201961
-1.474                    0.5180243329835479
-1.4069999999999998       0.5253681024698913
-1.3400000000000003       0.5327477078041624
-1.2730000000000001       0.5404667581739444
-1.2060000000000002       0.5465530670936507
-1.139                    0.5533632370002065
-1.072                    0.5606355287222446
-1.005                    0.5646817463357758
-0.938                    0.5710619646253422
-0.8709999999999999       0.5751841486342367
-0.8039999999999998       0.5811777958118945
-0.7369999999999998       0.5854426901706209
-0.6699999999999997       0.5889060082155566
-0.6029999999999996       0.5920484453943416
-0.5359999999999996       0.5952200511108029
-0.4690000000000004       0.5984604744130444
-0.40200000000000036      0.6009683308796036
-0.3350000000000003       0.6034567072417496
-0.26800000000000024      0.6055997909977194
-0.20100000000000018      0.6055550363901532
-0.13400000000000012      0.606717790529314
-0.06700000000000006      0.6080629053120953
0                         0.6068315532243769
0.06700000000000006       0.6062572650570516
0.13400000000000012       0.6075747727679878
0.20100000000000018       0.606804888620243
0.26800000000000024       0.6040998535940053
0.3350000000000003        0.6015562930053695
0.40200000000000036       0.5992738187979382
0.4690000000000004        0.5975680467056996
0.5359999999999996        0.5967966338827089
0.6029999999999996        0.5935273243349333
0.6699999999999997        0.5901477633772363
0.7369999999999998        0.585128019091086
0.8039999999999998        0.5802207786265987
0.8709999999999999        0.5745128425510952
0.938                     0.5705976336747031
1.005                     0.5656398388742927
1.072                     0.5583556517308144
1.139                     0.552938005545247
1.2060000000000002        0.5470080133951006
1.2730000000000001        0.5404297972238801
1.3400000000000003        0.5337938875541589
1.4070000000000003        0.525731601693149
1.4740000000000004        0.5166253306775114
1.5410000000000004        0.5096782714835028
1.6080000000000005        0.5024174341652681
1.6749999999999996        0.49198841468035265
1.7419999999999998        0.48354195911308334
1.8089999999999997        0.47262033142454335
1.876                     0.46270115154419644
1.9429999999999998        0.4530271713591151
2.01                      0.44194182387335174
2.077                     0.43005102253176586
2.144                     0.4176587151928583
2.2110000000000003        0.4056734446399102
2.278                     0.3936002206612001
2.345                     0.38184828385097574
2.4120000000000004        0.36871563885126624
2.4790000000000005        0.35606849892246367
2.5460000000000003        0.34269862006573626
2.6130000000000004        0.3303959678256366
2.6799999999999997        0.3179291957619639
2.7469999999999994        0.30528048083745135
2.8139999999999996        0.2938471449067934
2.881                     0.28176463447573885
2.948                     0.27045171168060356
3.0149999999999997        0.2594694836726398
3.082                     0.2482131316999419
3.149                     0.23855017126697062
3.216                     0.22758200034460738
3.283                     0.21857385490523945
3.35                      0.20883489375952843
3.4170000000000003        0.20082354374340392
3.4840000000000004        0.19259018157979585
3.551                     0.18485556355947666
3.6180000000000003        0.17736146661825067
3.6850000000000005        0.17159804754518457
3.7520000000000007        0.1658409113005921
3.8190000000000004        0.1608130402885691
3.8860000000000006        0.15591378396658845
3.9530000000000007        0.15198773147108613
4.0200000000000005        0.148099774849831
4.087000000000001         0.1448650040165661
4.154000000000001         0.14184526609685782
4.221000000000001         0.13920522940295174
4.288000000000001         0.13684946600634207
4.3549999999999995        0.134683035052857
4.422                     0.13267918367438022
4.488999999999999         0.13082239319554223
4.555999999999999         0.12919581606230968
4.622999999999999         0.12772694640650828
4.6899999999999995        0.1261939163683927
